channel_id,channel_title,channel_description,is_official
UCrRMm5fBegXOVERxRoNbnxw,Living In Melbourne Florida,"Are you wondering what it is like to live in Melbourne, Florida? Well, this is the channel you need! We absolutely love this town ...",no
UCjaW2Nei5UF1VboPiH8Eu0w,Fun Town,,no
UCO6z_9tV7CnELYYpPJqcs-A,"Debbie Seiler, REALTOR - Live In Melbourne Village","Melbourne Village is the smallest town in Brevard County, Florida comprised of approximately 325 homes, governed by an ...",no
UC52lXrzZQY6TXOS8rpbcyRQ,Lisa Lantrip,"Real Estate Market Updates for The Space Coast, Brevard County, Florida and surrounding areas.",no
UCFQrvxCURjP8689lAt0BIfA,AutoMax of Brevard,"We are a Family Owned and Operated Used Car Dealer in Melbourne, FL located on Aurora Rd in Brevard County....and the ...",no
UC0rw9-ZqduSTcs6uBNU7_ag,City of West Melbourne,,yes
UCIeepyKc4W63pXYf5ce45bQ,"City of Melbourne, Florida","This channel is to promote the City of Melbourne, Florida.",yes
UCz0pCQ2iv_bk8ZMgcKeKfew,CityofMelbourneFL,"Video material sponsored by the City of Melbourne, Florida.",yes
UCrRMm5fBegXOVERxRoNbnxw,Living In Melbourne Florida,"Are you wondering what it is like to live in Melbourne, Florida? Well, this is the channel you need! We absolutely love this town ...",no
UCAcbrb7HIKYXA3FxnokVuJg,"Macedonia MB Church (Melbourne, FL)","A church with the city in its heart, Macedonia is a place where you can be connected through God's son, Jesus Christ, His word ...",no
