channel_id,channel_title,channel_description,is_official
UC_cs0XDVn9HDaDAR1Xym2lQ,cityoformondbeach,Follow your local government via YouTube! The City of Ormond Beach and the Performing Arts Center now offer residents the ...,yes
UCq9-c0m_c5ID8crsdY9XSrQ,Citizens for Ormond Beach,Citizens for Ormond Beach (CFOB) is a long-established civic group that has been an important voice of the people of our city ...,yes
UC5FxCgbyBkXFpHN-RBFC3dA,Beach City Realty Group  Florida East Coast,,no
UC5734Yq5ZqERlxQshNLuRiw,Real Estate in Central Florida,"Welcome to NextHome at the Beach, your premier destination for discovering your dream home along the Florida coast!",no
UCBHAkpAJF8AB-WtAXMd1CUA,Signature HealthCARE of Ormond,Signature HealthCARE of Ormond is a quaint 60-bed skilled nursing facility nestled in a quiet setting within the city of Ormond ...,yes
UC_cs0XDVn9HDaDAR1Xym2lQ,cityoformondbeach,Follow your local government via YouTube! The City of Ormond Beach and the Performing Arts Center now offer residents the ...,yes
UC5FxCgbyBkXFpHN-RBFC3dA,Beach City Realty Group  Florida East Coast,,no
UCq9-c0m_c5ID8crsdY9XSrQ,Citizens for Ormond Beach,Citizens for Ormond Beach (CFOB) is a long-established civic group that has been an important voice of the people of our city ...,no
UCBHAkpAJF8AB-WtAXMd1CUA,Signature HealthCARE of Ormond,Signature HealthCARE of Ormond is a quaint 60-bed skilled nursing facility nestled in a quiet setting within the city of Ormond ...,yes
UCPDPB6iDcz0aI3YWHyK2tsg,Florida Streets,"""Florida Streets is the perfect channel for those who want to experience the beautiful state of Florida from the comfort of their home ...",no
