channel_id,channel_title,channel_description,is_official
UC46H_GXkwoUnSIIcjxJXbbw,Fix Your Credit-BQ-Tamarac Florida,"Finance and Insurance sector comprises establishments primarily engaged in financial transactions (that is, transactions involving ...",no
UCNFJYie7wwhGkB-EDM27pCQ,TamaracTalk,News for Tamarac Florida and the rest of Broward County.,yes
UCzozsNwXAN8YMYvCQma_DrA,South Florida Laser Dentistry,"Welcome to South Florida Laser Dentistry, located in the beautiful city of Tamarac, FL. Our practice has been serving patients from ...",no
UCsjG_WlAS2qv-Hic6K16o3w,City of Fort Lauderdale,"WeAreFTL: the official channel for the City of #FortLauderdale, a breathtaking coastal community in the heart of south Florida that ...",yes
UCVtTjaaajzCaWsMxHBmTIsA,City of Hollywood,"The City of Hollywood, Florida's YouTube Channel contains videos produced by the Office of Communications, Marketing and ...",yes
UC46H_GXkwoUnSIIcjxJXbbw,Fix Your Credit-BQ-Tamarac Florida,"Finance and Insurance sector comprises establishments primarily engaged in financial transactions (that is, transactions involving ...",no
UCNFJYie7wwhGkB-EDM27pCQ,TamaracTalk,News for Tamarac Florida and the rest of Broward County.,yes
UCzozsNwXAN8YMYvCQma_DrA,South Florida Laser Dentistry,"Welcome to South Florida Laser Dentistry, located in the beautiful city of Tamarac, FL. Our practice has been serving patients from ...",no
UCe7ToLPkmrHugD1_APQOFUQ,At Home in Florida,,no
UCL-XUTb71jXP7f6fiqKOnYw,The Sunshine State Agent - Tonya Brewton,"Hello! I'm Tonya Brewton, Realtor in North Lauderdale/ Tamarac, Florida. I serve a wide range of cities from Sunrise to Lake Worth ...",no
