channel_id,channel_title,channel_description,is_official
UC-W-rF_hcfNJAg8D2s6K1NA,The Town of Pembroke Park,,no
UCTgORvzgyWjxLUHhWQgALdg,Hipica TV,"La Transmisión Oficial en Español de Gulfstream Park, Santa Anita Park, Laurel Park, Pimlico, Pegasus World Cup y Preakness ...",no
UCwWs-vZ6h-5P6XvQOCllSCA,"City of Sunrise, Florida","The City of Sunrise, located in western Broward County, Florida is home to approximately 92000 residents and host to several ...",yes
UCrrLG6TIneF-JpfaG342Ipg,Florida West Coast Move,"At Zachos Realty & Design Group, we are not just Realtors but storytellers of the Gulf Coast's charm, encompassing Sarasota ...",no
UCmT700JRZqRR4dMuWblwg4Q,79 West,"We're 79 West Apartments! We are located in Panama City Beach, Florida, and reside right across the street from the beach!",no
UCrrLG6TIneF-JpfaG342Ipg,Florida West Coast Move,"At Zachos Realty & Design Group, we are not just Realtors but storytellers of the Gulf Coast's charm, encompassing Sarasota ...",no
UCQ0CzoHEsS4DfSaYaBMR2bg,Linkin Park Underground,,no
UCmT700JRZqRR4dMuWblwg4Q,79 West,"We're 79 West Apartments! We are located in Panama City Beach, Florida, and reside right across the street from the beach!",no
UCFZ5TMQ89OcueE5nYWpdP0g,WhiteWater,"WhiteWater was born in 1980 with one clear purpose, to create places where families unite and make joyful lasting memories.",no
UCv3mh2P-q3UCtR9-2q8B-ZA,The Urban Rescue Ranch,I bought a crackhouse and dump and turned it into a Certified wildlife rehabilitation facility and farm sanctuary for exotic (hunted) ...,no
