channel_id,channel_title,channel_description,is_official
UCWGyIJQGSbE1xxdKd844eDQ,Living in Sarasota - Bradenton,"Are you wondering what it's like to live in the Sarasota or Bradenton Florida areas? If so, this channel is for you! We absolutely ...",yes
UC_fx4za1L7UUMTpmRi8THiA,The Bridge Church,"Here at the Bridge Church, we believe in loving people right where they are and leading them into a growing relationship with ...",no
UC2pHBYDdD_tZrDxul4zwQ8g,v.12st.BRADENTON NORTEÑO14 : :,"Bradenton, Florida Manatee County ONECO A.k.a The ISLAND : : Varrio 12St. Lokos NORTEÑO$ G4NG X4 : : N$L XIV Much ...",no
UCT1JiSNe8y5jmibd8QCzk8w,Sarasota Bradenton International Airport,Welcome to the official page of the Sarasota Bradenton International Airport! We are your town and travel destination for the ...,yes
UCD06eMaufYlZ3q1K_RQuQUA,Travel Walker,This channel show walking tours of different places around the world.,no
UCEBkTfWIh0WNoD0yvFQia9w,City Life Church Bradenton,"Welcome to City Life Church Bradenton. We are an Assemblies of God Church location in the heart of Downtown Bradenton, ...",yes
UCvm_fyUafJrvgJiLQfwPWtw,Bradenton Police Department,"The Bradenton Police Department is located in the waterfront community of Bradenton, Florida, just south of Tampa Bay. BPD is ...",yes
UC7Z0_6KCQhM_UqbcNyaqtSA,Bradenton Area EDC,Discover what the Bradenton Area on Florida's west coast offers your business that other communities don't. Explore our channel ...,yes
UCAYTzblPx4HvT77503NRppw,Friendly City Foundation,"Providing creative business development to emerging creatives and underestimated communities through mentorship, ...",no
UCctlqWrUUyDjivdHNgk-p7w,Iglesia Hispana De La Comunidad AIC,"Una Iglesia Pentecostal, dónde podemos Adorar Unidos A Dios y Escuchar Palabra De Dios tal y como está escrita. HDLC AIC ...",no
