channel_id,channel_title,channel_description,is_official
UCGBcl6zHzynKs3-OBbq-aUw,Town of Loxahatchee Groves,Town of Loxahatchee Groves.,yes
UC0bCUnP5RrkJZUtd3bBz6Kw,WPTV News - FL Palm Beaches and Treasure Coast,"WPTV NewsChannel 5, the NBC affiliate in West Palm Beach, is Florida's top rated television station. WPTV covers Palm Beach ...",yes
UC8I5opEq1KM8XVH3Rervmkw,WPB-TV,Welcome to the City of West Palm Beach's official YouTube channel. We broadcast live and prerecorded city meetings and videos ...,yes
UCc2j0JhnR8Hx0Hj13RhCJag,City of Delray Beach,Delray Beach is a vibrant city with historic charm and award-winning beaches. www.delraybeachfl.gov.,yes
UCznA2roFMZo9c-ah7DXVRfA,Royal Palm Beach,,no
UCtTDHpSH6d4VBlOMVfWLzWA,Lissette Vazquez,,no
UC_csXkiq1uJzYnRPK6UIKTw,Luxury Home Sales In Florida,"This channel is dedicated to luxury real estate sales and luxury yacht sales. For questions regarding anything you see here, ...",no
UC6d9MDidKo2mdPp05AQLMTw,Florence Lewis,"This channel is about living in Palm Beach County Florida, moving to Palm Beach County Florida and relocating to Palm Beach ...",no
UCVViALZZn-UCMKXJwB6O8wg,Damage Restoration Services,"We are a trusted leader in the restoration industry and have the training, equipment, and expertise to handle your restoration and ...",no
UCc2j0JhnR8Hx0Hj13RhCJag,City of Delray Beach,Delray Beach is a vibrant city with historic charm and award-winning beaches. www.delraybeachfl.gov.,yes
