channel_id,channel_title,channel_description,is_official
UCVtTjaaajzCaWsMxHBmTIsA,City of Hollywood,"The City of Hollywood, Florida's YouTube Channel contains videos produced by the Office of Communications, Marketing and ...",yes
UCsjG_WlAS2qv-Hic6K16o3w,City of Fort Lauderdale,"WeAreFTL: the official channel for the City of #FortLauderdale, a breathtaking coastal community in the heart of south Florida that ...",yes
UC-W-rF_hcfNJAg8D2s6K1NA,The Town of Pembroke Park,,no
UClAfziZQ5Gra8DrGRzyq37w,Town of Davie TV,"This is the official ""YouTube"" home of the Town of Davie, Florida, government. Our Public Information Office is responsible for the ...",yes
UCSCzXpZ82FfA5udLY6WynCQ,Town of Miami Lakes,"When it incorporated in December 2000, the Town of Miami Lakes became the 31st municipality in Miami-Dade County. Known ...",yes
UCr7APhdalcD4U0qwJ0bcWOQ,Pinewood Sports,"Pinewood Sports Ride the Wood Established in Chicago, IL 2021.",no
UCyjhyJoPHcQRxPLnWPjOecg,J House Vlogs,"Welcome to J House - an imperfect family trying to improve. We focus on learning, serving, and playing together as a family.",no
UCwp1deDbxgnfT8YsFHXU05w,LIVING IN ORLANDO FLORIDA,Welcome to my YouTube channel! With years of experience in public service and an intimate understanding of the local ...,no
UCEDAKkxAvY1QS86RIjQhbkQ,"Things To Do on Pine Island, FL","THINGS TO DO ON PINE ISLAND is all about viewing all things Pine Island! Includes Things to DO in Matlacha, Things to DO in ...",no
UCPd5PAaAnHjXdh9aZmcYHig,Day Tripping SW Florida,The adventures of Chris and Janice as we explore all over SW Florida! We've been in Sw Florida since 1994. We're originally ...,no
