channel_id,channel_title,channel_description,is_official
UCiOdJ4o1H7V4bYZTcXbA3CA,Poudii,,no
UCpn_ODet9knMmEj5DB0_KnQ,Kanel Joseph,Praise to the Most High.,no
UCfA5CSlYGseqSeOhsiiZTfw,Sturniolo Triplets,Triplet brothers documenting our life.,no
UCzeRE7brAko8MtjFpHhbLOg,Town of Sewall's Point,"Sewall's Point is a town located on the peninsula of the same name in Martin County, Florida, United States.",yes
UCHxHJQCYf067_qYAmq9lKcw,City of Boynton Beach,,no
UC236POEyHSGoK7tcICVDEfA,White City Pastor,,no
UCjnr_wqMaRGXA1PqerqMFGQ,City of Destiny,"City of Destiny (formerly New Destiny Christian Center) in Apopka, Florida. Home of Paula White Ministries, Jonathan Cain Music ...",no
UCnukjV-mZHhvzzq1h66SChw,PUT ON 4 UR CITY,NEW YOUTUBE CHANNEL ➡️ https://youtube.com/channel/UCyDBEyaW4DoMi6rM9Yn7zmA FOLLOW ME ON ...,no
UCiMhJgTG0XsRwQAnZcbIX1g,Lighthouse Church,"Lighthouse Church Panama City 4049 West 23d Street Panama City, FL 32405 850-230-9030.",no
UCvQPDngBunvcPZsioiJuQ_g,CityOfTitusville,,no
