channel_id,channel_title,channel_description,is_official
UCawOYixXRBZJvCfEiFjJYhQ,Carol Villani Sells Florida Homes,,no
UCPnQ9S1ynmo3731gO9LJBLg,i Love Florida Living,"Helping you find the perfect spot in Greater Tampa Bay for over 20 years. I've lived in the area for 30+ years, soaking in the ...",no
UCB-JGmsIyAhV8TKm6GsLL8g,Mr. Fabian,Florida Travel.,no
UCMiVkyhOrZxwswe9B_WrK1Q,Lucinda Striker,,no
UCAOqEUmhBU_ZOccXPFs2mfA,City of Inverness,"Welcome to our official YouTube Channel for the City of Inverness Florida,Government! ✨ We are committed to community ...",yes
UCawOYixXRBZJvCfEiFjJYhQ,Carol Villani Sells Florida Homes,,no
UCPnQ9S1ynmo3731gO9LJBLg,i Love Florida Living,"Helping you find the perfect spot in Greater Tampa Bay for over 20 years. I've lived in the area for 30+ years, soaking in the ...",yes
UCB-JGmsIyAhV8TKm6GsLL8g,Mr. Fabian,Florida Travel.,no
UCxDfDkIcfZwmKwPr-cTjxLQ,Junk It All Services,,no
UC8fux2HtBKF5Bnqydts4-cw,Team Neely Real Estate,"Navigate Citrus County Real Estate with Joel & Michele Neely, Realtors at Coldwell Banker Next Generation Realty.",no
