channel_id,channel_title,channel_description,is_official
UCqGu2U57LVpBbZzL62z7qjQ,"Town of Indian River Shores, Florida",,yes
UCMFJSRaERpUoNhcAqsUAaYA,IRCHS YouTube,,no
UC0bCUnP5RrkJZUtd3bBz6Kw,WPTV News - FL Palm Beaches and Treasure Coast,"WPTV NewsChannel 5, the NBC affiliate in West Palm Beach, is Florida's top rated television station. WPTV covers Palm Beach ...",yes
UCYR0LFd1_XrZLOK8S5-_A8A,Windsor Properties,Windsor is a private residential community spanning 425 acres of lush barrier island between the Indian River and the Atlantic ...,no
UCwJggJmmIolNe13N18T2iLA,Pathway Church Vero Beach,"Pathway Church | Vero Beach, FL Welcome to Pathway Church! We are located in the sleepy beach town of Vero Beach, Florida.",no
UC7LbA5MToi51HwNokh1TEqw,Indian River Hauntings,,no
UCPAZgHKw2IfPy0ESjpK35EA,Vero Beach Florida,Vero Beach Florida | Vero Beach is a beachside city in Indian River County on the Treasure Coast on the East Coast of Florida.,yes
UC9mKoRTEmObg43mqDDlhCdg,AC4PR,"For those who are educated on the subject of Seven 50---control of seven Florida counties within 50 years, you know that our City ...",no
UCAWhvMzVqCu_N8O7kYL9jzg,TC Palm,TCPalm.com is your number one source for news and information on the Treasure Coast of Florida.,no
UCGf0z44OJn_sis1Xsb3SDbg,"The Urban Team- Treasure Coast, FL Real Estate",The Urban Team is here to help you with all of your real estate needs on the Treasure Coast of sunny south Florida. We cover ...,yes
