channel_id,channel_title,channel_description,is_official
UC62SprpD85AqvtjJk2bP4-A,OCOEE TV,"Ocoee TV, is a 24-hour government access channel programmed and operated by the City of Ocoee, Florida. Ocoee TV, Channel ...",yes
UCavnfNE6WpgmFrJ47eUjavw,Florida Drone Tours,"Discover a higher perspective with Florida Drone Tours, your premier partner for exceptional drone footage. We specialize in ...",no
UCTgCM3p-pasznzCgEcNPhKg,Ocoee Police,,no
UCTPTOWkTcT2WspJiDQJslBQ,Michelle Bergstein- Fontanez,,no
UC6VP-6pEoabGenArjA8DPLA,Chris Adkins,Ocoee Mayor Leadership Environment First Responders Accountability Downtown Ocoee.,no
UC62SprpD85AqvtjJk2bP4-A,OCOEE TV,"Ocoee TV, is a 24-hour government access channel programmed and operated by the City of Ocoee, Florida. Ocoee TV, Channel ...",yes
UCTgCM3p-pasznzCgEcNPhKg,Ocoee Police,,no
UCavnfNE6WpgmFrJ47eUjavw,Florida Drone Tours,"Discover a higher perspective with Florida Drone Tours, your premier partner for exceptional drone footage. We specialize in ...",no
UC6VP-6pEoabGenArjA8DPLA,Chris Adkins,Ocoee Mayor Leadership Environment First Responders Accountability Downtown Ocoee.,no
UCTPTOWkTcT2WspJiDQJslBQ,Michelle Bergstein- Fontanez,,no
