channel_id,channel_title,channel_description,is_official
UCzJ1MZ1wTlgadB8I5-m1cqw,DeBary-Orange City SDA Church,"Welcome to the DeBary-Orange City SDA Church in Orange City, FL. We are a Christian community and would love to have you ...",no
UC2eVypDFnb_ry9cynYzI2hA,DeBary News,DeBary News provides news and information about one of Central Florida's most desirable cities.,no
UCM3ui7jgq2s4vlHeFHMTA7w,River City Church,,no
UCxeMjMz2--wEzcZRh24SEXg,Elect Darius Kelley,Now Is The Time... Darius Kelley - DeBary City Council Seat #2 Why now? Why Darius Kelley? Meet Darius… Entrepreneur.,no
UCSSCvEvYyxFyIQrcPU2zZ8A,Florida Living Quarters,,no
UCzJ1MZ1wTlgadB8I5-m1cqw,DeBary-Orange City SDA Church,"Welcome to the DeBary-Orange City SDA Church in Orange City, FL. We are a Christian community and would love to have you ...",no
UCM3ui7jgq2s4vlHeFHMTA7w,River City Church,,no
UCxeMjMz2--wEzcZRh24SEXg,Elect Darius Kelley,Now Is The Time... Darius Kelley - DeBary City Council Seat #2 Why now? Why Darius Kelley? Meet Darius… Entrepreneur.,no
UC2eVypDFnb_ry9cynYzI2hA,DeBary News,DeBary News provides news and information about one of Central Florida's most desirable cities.,yes
UCVmnLgKGLhHhcyQBKZgzvOw,"City of Deltona, Florida","This is the YouTube channel for DeltonaTV, the government access channel for the City of Deltona, Florida, operated under the ...",yes
