channel_id,channel_title,channel_description,is_official
UCJV-GTSFwXx3ISgo6EDjXGg,South Florida Title Associates | Sawgrass Office,"South Florida Title Associates Corporate Headquarters is located in Plantation, FL with offices in the following cities: Aventura, ...",yes
UCnbKxbQ-KvoiQFhfIxbWpLg,It’s all about-The Villages Florida,"House tours, rental homes, points of interest and unique aspects of The Villages Florida. Join us as we explore everything The ...",no
UCfNpnd-nWQm7HNT1kfPmurg,Retiring To The Villages Florida,"Everything about The Villages, Florida and much much more! Please join us on our journey to retiring full time in the Villages, ...",no
UCp1V3kpJ6yN7c2p5ecTN54Q,Moving to Ponte Vedra Florida,"Welcome to the Moving to Ponte Vedra, Florida channel! Here you'll find videos all about moving, relocating, and living in Ponte ...",no
UCGm4tv64V6BlH9ANf7MweHw,Arrigo Sawgrass,"Arrigo Sawgrass is a new and used Dodge Chrysler Jeep RAM dealer serving the greater Miami, South FL area. View our website ...",no
UCJV-GTSFwXx3ISgo6EDjXGg,South Florida Title Associates | Sawgrass Office,"South Florida Title Associates Corporate Headquarters is located in Plantation, FL with offices in the following cities: Aventura, ...",no
UCqOl4MxOcErRD7GCkqvBpNA,Shellen Vlogs,Come with me on an adventure! Here I will share more of my personal travel and behind the scenes moments. A channel where ...,no
UC49tqS8y86m73xdzNV8isrQ,Vacation Specialist - Miami FL,This channel contains all the information you need to know about the overall Miami experience. I've been traveling to Miami with ...,no
UC3b-GMJkJEpjLSox-CJts5A,City Of Parkland,,no
UCQ_kMxkXQ7GaUedP9Ws_VSg,Nancy Clinton adventures,"Welcome to Nancy Clinton Adventures channel, here you learn more on Cayman Islands, cooking African and Carribean ...",no
