channel_id,channel_title,channel_description,is_official
UCpJTI3iON45k4Lzx3c66u_w,Coral Springs,"Founded on July 10, 1963, Coral Springs has grown from a ""City in the Country"" to a vibrant, family-friendly City that has ...",yes
UCsNBzRS6fNGDwwVXkQzlm3w,Coral Springs Public Safety,Official YouTube Channel for the Coral Springs Police Department and the Coral Springs-Parkland Fire Department.,yes
UCZDR1A8lsoz-M-D6Ls9bqDg,First Church Coral Springs,"At First Church, our motto is, “We Love First,” based on Jesus' teaching that loving God, each other and loving our neighbors is our ...",no
UC4qTuBRLosUwjGPXhdqtfzg,Country Club of Coral Springs,"Our mature, fully renovated 18-hole championship (par 71) course was designed by the noted architectural firm of Edmund Ault ...",no
UCXDWA3k8HmU4wsY5avcsYMw,CoralSpringsTalk,CoralSpringsTalk can be found at www.CoralSpringsTalk.com. We are located in Coral Springs FL outside of Fort Lauderdale FL ...,no
UCpJTI3iON45k4Lzx3c66u_w,Coral Springs,"Founded on July 10, 1963, Coral Springs has grown from a ""City in the Country"" to a vibrant, family-friendly City that has ...",yes
UCsNBzRS6fNGDwwVXkQzlm3w,Coral Springs Public Safety,Official YouTube Channel for the Coral Springs Police Department and the Coral Springs-Parkland Fire Department.,yes
UCZDR1A8lsoz-M-D6Ls9bqDg,First Church Coral Springs,"At First Church, our motto is, “We Love First,” based on Jesus' teaching that loving God, each other and loving our neighbors is our ...",no
UC4qTuBRLosUwjGPXhdqtfzg,Country Club of Coral Springs,"Our mature, fully renovated 18-hole championship (par 71) course was designed by the noted architectural firm of Edmund Ault ...",no
UCXDWA3k8HmU4wsY5avcsYMw,CoralSpringsTalk,CoralSpringsTalk can be found at www.CoralSpringsTalk.com. We are located in Coral Springs FL outside of Fort Lauderdale FL ...,no
