channel_id,channel_title,channel_description,is_official
UC18293MmpazcdcMJ_WYPVpQ,Rankin Helping Agents,"I am a licensed real estate sales agent in the state of Florida. I love to serve my fellow agents, to help them with their journey as ...",no
UClSUk5usBAQ2r8UpZNHnzOw,Da Donk -a- Thon,The Da Donk-a-Thon is northern Louisiana's biggest race event of the year! We are bringing you the fastest Donk racers ...,no
UCoal4TkWkrxNaqaANYXAb3A,Emerald Coast TV,"Emerald Coast TV.com goal is to provide news stories, sports, and events happening in the communities along the Gulf of Mexico ...",no
UCoRap5thrXhU2B7WUMpuC8Q,Navarre Kayak Fishing,"Navarre Kayak Fishing offers Kayak Fishing Charters from Pensacola - Miramar Beach, FL. The YouTube channel was created to ...",no
UCkzS3Rkl0P3w6KKCMTtJ2SA,FWB Surf TV,This channel features my point of view of surfing and beach life in the Fort Walton Beach and Destin areas. I try to get as many ...,no
UC18293MmpazcdcMJ_WYPVpQ,Rankin Helping Agents,"I am a licensed real estate sales agent in the state of Florida. I love to serve my fellow agents, to help them with their journey as ...",no
UClSUk5usBAQ2r8UpZNHnzOw,Da Donk -a- Thon,The Da Donk-a-Thon is northern Louisiana's biggest race event of the year! We are bringing you the fastest Donk racers ...,no
UCa_OGcffNi_l3jzzpHdZd1g,Rockstar Marketing,"We located in Beautiful Destin, Florida, and Lexington, Kentucky and are one of the Nations leading Advanced Social Media, ...",no
UCFrgNs2zGILkw77AtwnEe-Q,Baidurya Banerjee,,no
UCoal4TkWkrxNaqaANYXAb3A,Emerald Coast TV,"Emerald Coast TV.com goal is to provide news stories, sports, and events happening in the communities along the Gulf of Mexico ...",yes
