channel_id,channel_title,channel_description,is_official
UCTh3-EEpBJ7yKjG6T5lO8_A,"North Port, Florida","Located in Southwest Florida between Tampa and Fort Myers, the City of North Port is the largest city in Sarasota County.",yes
UCe1IA5kmY578O_Qo7Skr-TQ,Long Island Audit,Constitutional Activist Investigative Journalist Exercising Constitutional Rights in a respectful manner. We The People will NOT ...,no
UCPgvKPGgv7ooC44CYPVa0-Q,Accessible Adventures Charleston,Sharing our accessible adventures from the Lowcountry and beyond!,no
UCNYsIqBwQyhnNDVf7SXJV9w,Exploring With Josh,I'm just a dude with a camera. For business inquiries: exploringwithjosh@gmail.com WATCH MY LIVE STREAMS and gaming ...,no
UCZRnX_ED0SvOW8T44Q_BekA,P.G.Klebansk,,no
UCTh3-EEpBJ7yKjG6T5lO8_A,"North Port, Florida","Located in Southwest Florida between Tampa and Fort Myers, the City of North Port is the largest city in Sarasota County.",yes
UC3dlGJVO5vAIBbV0_Dn3ZYQ,Oasis PC City Church,"1050 Corporate Avenue North Port, Florida. 34289.",no
UC2eH4C0yJuVgIijRYnK6kuQ,The Environmental Conservancy of North Port ,"The Environmental Conservancy of North Port, Inc. dba The Environmental Conservancy of North Port And Surrounding Areas is a ...",yes
UC0xUCb_Cfrj60bsLmtcsuQA,Foundation Church,"There has never been a more urgent time for the Body of Christ to stand up for the Word of God. Sadly, the “Church” has lost its ...",no
UChgTyY88-vXkof0y49XQr7w,TTwNorthPortFl,"Welcome to the YouTube home for: ""Thrill The World North Port Florida "" What is Thrill The World? Thrill The World is an annual ...",no
