channel_id,channel_title,channel_description,is_official
UCFnpWTUfup3BtTrUyHaJisA,City of New Smyrna Beach,"Founded in 1768, this historic coastal community is notable for its vibrant local arts scene and world famous surf culture.",no
UCAuJHni8dnoM-_0rQOvFajQ,"Living in New Smyrna Beach, FL","Are you wondering what it is like to live in New Smyrna Beach, Fl? Well, this is the channel you need! We absolutely love this town ...",no
UCuPhWG8vTuQvg_BBeEOzfog,New Smyrna Museum of History,The New Smyrna Museum of History is dedicated to preserving the history of Southeast Volusia County Florida. As the 3rd oldest ...,yes
UCrSarB4bw4W7t6pVfZ2pbQg,NewSmyrnaBeach Florida,"Every town has its secrets. Its mysteries Established in 1768, New Smyrna Beach is the second oldest city in the United States ...",no
UCA528u3OGoqK1gt6RiEsgZQ,Gulf Atlantic Vehicles Inc New Smyrna Beach,New Smyrna Beach from the driver seat of a street legal LSV. The best way to be on island time is by cruising the town in your ...,no
UCFnpWTUfup3BtTrUyHaJisA,City of New Smyrna Beach,"Founded in 1768, this historic coastal community is notable for its vibrant local arts scene and world famous surf culture.",no
UCuPhWG8vTuQvg_BBeEOzfog,New Smyrna Museum of History,The New Smyrna Museum of History is dedicated to preserving the history of Southeast Volusia County Florida. As the 3rd oldest ...,yes
UCrSarB4bw4W7t6pVfZ2pbQg,NewSmyrnaBeach Florida,"Every town has its secrets. Its mysteries Established in 1768, New Smyrna Beach is the second oldest city in the United States ...",yes
UChdofnTzMjGYUXj1tYeOonA,Local Guy Liam,"Hi! As you might've guessed, my name is Liam. Thanks for stopping by! I started the Local Guy Liam channel to help visitors get all ...",no
UCPcUQibH2L3Gj23uBg7uHSA,Mia Gallagher,"Surfer from Ocean City, NJ Following My Dreams.",no
