channel_id,channel_title,channel_description,is_official
UCSCzXpZ82FfA5udLY6WynCQ,Town of Miami Lakes,"When it incorporated in December 2000, the Town of Miami Lakes became the 31st municipality in Miami-Dade County. Known ...",yes
UCsjG_WlAS2qv-Hic6K16o3w,City of Fort Lauderdale,"WeAreFTL: the official channel for the City of #FortLauderdale, a breathtaking coastal community in the heart of south Florida that ...",yes
UC-W-rF_hcfNJAg8D2s6K1NA,The Town of Pembroke Park,,yes
UCo_Vkjv7rvKiv_f_NF40k7w,Opportunity Miami,"This is a pivotal moment for Miami, which has never been positioned so strongly for success -- or faced such daunting challenges, ...",no
UCOAsS_oXDEida5PdhtJwYuA,"City of Opa-locka, FL",City of Opa-locka's Official YouTube Channel.,yes
UC7fJd5as7Q9cm-2BPgGrnyg,MyClickSupermarket.com,MyClickSupermarket.com is a South Florida base online supermarket. Order your groceries online and rest assured you will ...,no
UCLmdKVMmA8TzXbKpGLn-dwQ,Ed Alemany | Miami | Travel & Tips,ENGLISH Miami & Travel are two of my passions. I love to show to visitors and residents that Miami has a lot more than our ...,no
UCahqeH_ZYsSEmYFPIegfIKw,Silvia Olivera Realtor,"Silvia Olivera Realtor, The Luxury expert certified in Miami Beach, Bal Harbour, Surfside, Sunny Isles Beach, Aventura Selling ...",no
UCcYrefPxQZf1DsVOGLduWfg,HYP Miami,"We are HŸP! Located primarily in Miami, FL, we have been in the secondary market sneaker & clothing business for over 6 years.",no
UCFi4GtMLWanL6XdL0tDnglw,Chris Valdes,"BeFreeDogs.com offers the finest private in-home dog training program in South Florida. We train all breeds of dogs to be loving, ...",no
