channel_id,channel_title,channel_description,is_official
UCe1IA5kmY578O_Qo7Skr-TQ,Long Island Audit,Constitutional Activist Investigative Journalist Exercising Constitutional Rights in a respectful manner. We The People will NOT ...,no
UCcR7AhgBUPez7jqNySk02HQ,Life on the Emerald Coast,"We are dedicated to showcasing Life on the Emerald Coast. Are you wondering what it is like to live in Destin Florida, Fort Walton ...",no.
UCttHrB0G_94A5hPnztF3W2Q,LIVING IN DESTIN FLORIDA,"Are you wondering what it is like to live in Destin Florida? Well, this is the channel you need! We absolutely love this town and our ...",no
UCNb3RgYRa-fAFEqYLrcOaGg,Jordan Dennis - Leading You Home,"This is your page for real estate information and listing videos on Florida's Emerald Coast, particularly the communities around ...",no
UCsfOBYjll95yo7jS3uhZEKw,Riri,,no
UCLom2uqVK0rQ_QpyO6m9uxg,City of Freeport,"This site is not monitored at all times, do not use this forum to report emergency situations and/or time-sensitive issues. City Hall ...",yes
UCJDpXoxytnjXELA6S8sx__Q,StudentEscape,StudentEscape provides an unforgettable experience for college students across the US during Spring Break. If looking for more ...,no
UCULwAoCDC-aHRtofvReacUA,Destiny Worship Center,Welcome to the official Destiny Worship Center YouTube channel which features the latest sermons and preaching from our ...,yes
UCOvB4zACEKYhTHmtzznl10Q,"Living on the Emerald Coast, Florida | DESTIN-PCB","Are you wondering what life is like living on the Emerald Coast? Well, this is the channel you need! Moving to Northwest Florida is ...",no
UCoAoQiBgnKONNOwuHnhC7yQ,Jeff Phillips - Your Trusted Destin & 30A Realtor,"Real estate agent serving Destin, 30A, Panama City Beach, Freeport, and Santa Rosa Beach Florida. Having grown up in ...",no
