channel_id,channel_title,channel_description,is_official
UC17qX_n5mGdn8tTiReiU8GA,Living in Citrus County FL,"Living in Citrus County FL. Never heard of Citrus County, Florida? It is definitely one Florida's hidden little gems. Up coming ...",yes
UCkvsjel5l3XzDb_JZcAubBw,Citrus County Florida Homes For Sale,Realtor with ERA Suncoast Realty Serving Citrus County Florida Contact me at 352-507-5675 monroeb2005@gmail.com Follow ...,no
UC4wQpu4nER3WJOYQWjia0Jg,crystalriverflorida,Crystal River Florida is a small Gulf Coast town in Central Florida. The 2010 recorded people population was only 3108. However ...,yes
UCB-JGmsIyAhV8TKm6GsLL8g,Mr. Fabian,Florida Travel.,no
UCUwkDG-R-2NVUa4l-ZNYtwA,LB Digz Adventures,"Jenna & Mat sharing cool adventures and experiences biking, paddle boarding, camping, traveling and adventuring. Runaway ...",no
UCkvsjel5l3XzDb_JZcAubBw,Citrus County Florida Homes For Sale,Realtor with ERA Suncoast Realty Serving Citrus County Florida Contact me at 352-507-5675 monroeb2005@gmail.com Follow ...,no
UCB-JGmsIyAhV8TKm6GsLL8g,Mr. Fabian,Florida Travel.,no
UCHUA6m5b3WHXDVbU0-qntIw,Jayannas world 610,,no
UC8fux2HtBKF5Bnqydts4-cw,Team Neely Real Estate,"Navigate Citrus County Real Estate with Joel & Michele Neely, Realtors at Coldwell Banker Next Generation Realty.",no
UC7RJse0D8vHifIJloHevG9g,GRLT LLC Private Transportation,"GRLT transportation Services in Spring Hill, Brooksville, The Villages, Ridge Manor, Dade City, Zephyrhills, Homosassa, ...",no
