channel_id,channel_title,channel_description,is_official
UCVkxVXSkP0WUg2uO-ZFFcwg,St. Stephen Catholic Church,,no
UCj_Z6zkXP8I8gAf7r13WqRQ,365daysofOrlando,,no
UC2dozdZFUGvtDmHkFE8VIMA,Boundless Travel and Life,"Travel - Exploring Florida Cities, Historic Towns & Mainstreet, Small Towns, Parks, Beach, Hiking and Walking Trails.",no
UCafXd9ofeLkDM1mAeTXctRQ,In A Snap Laundry,,no
UCZz0CoD-hl43unqqTFOoAIg,Florida travel vlogs,Come see Florida like a true Florida native. I drive around all over florida to show you what each town looks like especially the ...,no
UCAd7Arzu9aigPZVlczyixMg,Winter Springs Community Association,The Winter Springs Community Association (WSCA) was created to help our community become “One Winter Springs”. We are ...,yes
UC5-BodM-DYgCXTvpHbwrKRQ,Oviedo & Winter Springs TV,"Your inside look at local events and the community in Oviedo, Winter Springs, and surrounding areas in East Seminole County, ...",yes
UCnukjV-mZHhvzzq1h66SChw,PUT ON 4 UR CITY,NEW YOUTUBE CHANNEL ➡️ https://youtube.com/channel/UCyDBEyaW4DoMi6rM9Yn7zmA FOLLOW ME ON ...,no
UCNfTNaBpBKqnSnxwAlO1f5g,City of Winter Park,"One of the finest cities in the United States, Winter Park, Fla., is considered by many to be the premier urban village in the ...",yes
UClQqC1_W8LAnlXZUZpNf2sw,Victoria For Winter Springs,"Hi, I am Victoria and I am telling stories of our local community! If you have a local story from Oviedo or Winter Springs that you feel ...",no
