channel_id,channel_title,channel_description,is_official
UCn_D1Iq1xxZhrkenq1d7EYA,CityofDestin,"The City of Destin created this YouTube Channel to help keep residents, businesses and visitors up-to-date on news and City ...",yes
UCWYf4Z1yYL1B4MFBpi5IICQ,Living in Destin-Fort Walton Beach FL,"Are you wondering what it is like to live in Destin - Fort Walton Beach Florida? Well, this is the channel you need! We absolutely ...",no
UCcIU_RWc6zNS6Zf4_twSv5w,"Living in Destin, Florida","This channel will educate you on the local real estate market in the Florida Panhandle. We will show you our favorite places to go, ...",no
UCULwAoCDC-aHRtofvReacUA,Destiny Worship Center,Welcome to the official Destiny Worship Center YouTube channel which features the latest sermons and preaching from our ...,yes
UCJ8v25EaQ3hpoKv-JCd7OwQ,Destin-E,"Destin, Florida and everything East to West. Nature to travel attractions and entertainment.",no
UCn_D1Iq1xxZhrkenq1d7EYA,CityofDestin,"The City of Destin created this YouTube Channel to help keep residents, businesses and visitors up-to-date on news and City ...",yes
UCcIU_RWc6zNS6Zf4_twSv5w,"Living in Destin, Florida","This channel will educate you on the local real estate market in the Florida Panhandle. We will show you our favorite places to go, ...",no
UChlCzGz5Fm1NFuxTxyxqIUA,REAL ESTATE IN DESTIN FLORIDA,"Hello, my name is Garrett Walker and I am a real estate professional specializing in the beautiful city of Destin, Florida. Located on ...",no
UCU4SzKWPIO1A7FVI3BBvK-g,Destin & 30A Florida Real Estate | Casey Joiner,"Interested in Destin, 30A or Santa Rosa Beach Real Estate? Let's Chat! ⬇️☀️🏖️ This channel is all about living in Florida, ...",no
UCLfJOawdgZiKq6OZyAEcKWw,Dream Home Destin - Emerald Coast Realtor,"YOU ARE HERE! Welcome to the Emerald Coast of Florida. Please BUCKLE UP as you will be in ""All Things Destin Information ...",no
