channel_id,channel_title,channel_description,is_official
UCSphXDdPip2dVKc-AXOfWYQ,Gary Down South,Exploring the Southeast ....,no
UCU2rFF0RMbuVZXuRxMbu1GQ,Ros Adventures,Starting a new life in North Florida! Moved to a small town called Chattahoochee with my family. Happily married with two children ...,no
UCrmgjZYoSM02jjCz9gICfMw,"Day Tripping Adventures, Fred J Morgan","Videos by Fred J Morgan... ""F Jeff Morgan"", ""FJM""",no
UCYF1kiTFCcYPqGTqXKt3JJg,Papa Meat,"I make cartoon on my main account, but i make other stuff here :)",no
UCw4LSCWzuynUrgZYaT_YfWg,Indigenous Man,Xukurú Otorongo.,no
UCYF1kiTFCcYPqGTqXKt3JJg,Papa Meat,"I make cartoon on my main account, but i make other stuff here :)",no
UCddjYnLXR66OkVdbvoH5jUg,Dondon Soltes,,no
UCSphXDdPip2dVKc-AXOfWYQ,Gary Down South,Exploring the Southeast ....,no
UCH401LIpXudpLSHAUIhnCXw,Gulf County Adventures,"Hello! Join us as we venture outdoors along the Forgotten Coast, and other interesting places. We will venture out fishing, ...",no
UCU2rFF0RMbuVZXuRxMbu1GQ,Ros Adventures,Starting a new life in North Florida! Moved to a small town called Chattahoochee with my family. Happily married with two children ...,no
