channel_id,channel_title,channel_description,is_official
UCeADaV2yxQxiAmYid9zue9A,Kuruma Imports JDM Dealer,South Florida's 1st JDM Dealer since 2014. Featuring the largest selection of Japanese Domestic Market (JDM) vehicles with fully ...,no
UCmBmkpQIaENU0NqnPmsuHbg,Huyền Cảnh Florida Family,Đời sống của gia đình Huyền Cảnh Florida ở Mỹ. Cuộc sống không hề dể dàng nhưng mỗi ngày mỗi cố gắng và niềm vui cũng ...,no
UC17qX_n5mGdn8tTiReiU8GA,Living in Citrus County FL,"Living in Citrus County FL. Never heard of Citrus County, Florida? It is definitely one Florida's hidden little gems. Up coming ...",no
UCg3gzldyhCHJjY7AWWTNPPA,Sam and Colby,"What's up guys! On this channel we create haunted, exploration videos. Our most popular series include Stanley Hotel, Hell Week, ...",no
UC6mg6VVU62bjjlE-mSaSDBg,FAST TOWN TV,"Fast Town Motor Clubs (FTMC) are an exclusive equity, members only, private country club model catering to the Ultra High Net ...",no
UCrOGg6n2Qjw6yujcrwc0Z3g,"City of Sanford, FL","Official Youtube Channel of City of Sanford, Florida. There's Always Something Going On in Historic Sanford. As one of the oldest ...",yes
UChl0K0RJCN0JeToG7T7RvsQ,The Maxwell at Xentury City,"Discover all that awaits at The Maxwell. Our brand-new luxury apartments in Kissimmee, FL are sure to have all that our residents ...",no
UCw0sVJWt_azyiYoZvykGpwg,Chrissa Travels,Let me help you plan your most amazing Florida vacation! Discover the magic of the Sunshine State as we explore its theme parks ...,no
UCY2Lsf5xrL2KXmAd0XXUXPA,City of Oakland Park,"Oakland Park is a City on the move! As a hometown choice for excellence in people and service, we are an inclusive community ...",yes
UCAgUS4jpgqdIpfZSNcAR3hg,The Frugal Brit - Orlando,"I aim to help those planning a vacation in Orlando with my hotel reviews, park reviews, top 10 lists and general Orlando vacation ...",no
