channel_id,channel_title,channel_description,is_official
UCIn2KNbbwCbmDkGSJ_lO1Hg,two dollars twenty,,no
UCIQF6ORilTNOq43451WT0YA,City of Lynn Haven Florida,Lynn Haven City Commission meetings are normally held on the second and fourth Tuesdays of the month in the Chambers ...,yes
UCKjOsKu3NaZ0xUeIVyEMEbw,JoeVideo,,no
UC0f0XoQS9Vu-5xZW2gm9T0A,Springfield Community Church,Welcome to our Church Services! The Spirit of the Lord is moving at Springfield Community Church and we want you to be a part ...,no
UCfnsWGN5thNUp_QKObM58bA,WMBB News 13,"WMBB News 13 News, Weather, Sports and more from across the Florida Panhandle. Located in Panama City, Florida.",yes
UCIn2KNbbwCbmDkGSJ_lO1Hg,two dollars twenty,,no
UCfnsWGN5thNUp_QKObM58bA,WMBB News 13,"WMBB News 13 News, Weather, Sports and more from across the Florida Panhandle. Located in Panama City, Florida.",yes
UC0f0XoQS9Vu-5xZW2gm9T0A,Springfield Community Church,Welcome to our Church Services! The Spirit of the Lord is moving at Springfield Community Church and we want you to be a part ...,no
UC68Ux4cTx0NN7ZeKAyeOjKw,Watlee Construction Panama City Florida,,no
UCKjOsKu3NaZ0xUeIVyEMEbw,JoeVideo,,no
