channel_id,channel_title,channel_description,is_official
UCEb8N8HqycJj2uxYPeSWq4A,"Town of Hilliard, FL",,yes
UC5idtpJ6qdr7-RaBMJ3py_A,Brandi Hilliard,"Mom, Wife, Realtor and More. This channel is here for my Real Estate business and to have some fun with the family. When life ...",no
UCPcL9uy37-oy_iX1ka_fW8Q,Nassau County,Official Nassau County Florida YouTube Channel.,yes
UCf4vhAAjuiLsKA9IErNIt8A,Bobby Tighe: Your Florida Real Estate Agent,"Hi everyone, I'm Bobby Tighe, and this is my YouTube channel where I share real estate videos and podcasts. I focus on buying, ...",no
UCmlelS5UQVygg4mLuJSf6pw,John Mellencamp - Topic,,no
UCK-lk0HtzG7wmVQiA9vu-ow,"Central Church of Christ Haines City, FL",,no
UC9fA33ExZH-1E11DT82qobw,Cliff Hilliard,,no
UCFwWNbpnOCfPuMUmixmqULg,Florida-Georgia Railfan,"Thank you for visiting my YouTube Channel. Florida-Georgia Railfan is mostly about trains, but may occasionally feature other ...",no
UCR6DVUhOR4HtHZKPCcG6fnw,Dave Ramsey Financial Investment Advisor in Florida FL,"A Local Team Dave Ramsey ENDORSED Financial Investment Advisors & Professionals serving Jacksonville FL, Jacksonville ...",no
UCE6UFLy2JicKKU2bn7VF9dg,"Come To Find Out with Sarah Thress, Realtor","Sarah Thress is a hard-working, professional full-time Realtor in the Florida and Central Ohio area that is known for her ...",no
