channel_id,channel_title,channel_description,is_official
UC-fMlkr4JJFOD_uTiUqTd0Q,Hope City Florida,,no
UCg2y6LUxW0Gy-x81YU19mzA,Bonita FL Properties,"Hi! I am Rebecca Troyer, your home town realtor. I was born and raised in South West Florida. I am a real estate agent and I sell ...",no
UCTF-wEnfKoqXo9WOk-1ev5w,Town of Fort Myers Beach FL,,yes
UCDvxGbQjepEiiRbmBcOKQNw,the reporter,,no
UC0EJan5hUjoylLDfl3Sc0hA,"Rebecca Dean, Realtor, e-Pro","Licensed real estate professional in New York and Florida. New York: The Hudson Valley including Columbia, Dutchess and ...",no
UC-fMlkr4JJFOD_uTiUqTd0Q,Hope City Florida,,no
UCHFZc0bktIiEAfnCfjxkUQA,Erika Samudio,"Rental 23257 E El Dorado Ave Bonita Springs, FL 34134 Beautiful, smart and custom house 3/3 built by one of the most famous ...",no
UCwbiWqaA9U82qkVOeoxcO1Q,Living in Fort Myers Florida,Looking to see what the lifestyle is like in Fort Myers or anywhere is Southwest Florida? This is the channel for you! We'll be ...,no
UCRrUBRkvFcXsWACeyaruaAQ,Michael Pierne Realtor,"South Florida Realtor specializing in the Gulf Coast. Naples, Marco Island, Everglades City, Bonita Springs, Estero, Fort Myers, ...",no
UCQG8p6ioAKSHUQZzUjx6vVQ,Florida Sustainability,"A Media Company that Focuses on the Sustainability of People, Place, & Profit to Improve Southwest Florida's Quality of Life for ...",no
