channel_id,channel_title,channel_description,is_official
UCrOGg6n2Qjw6yujcrwc0Z3g,"City of Sanford, FL","Official Youtube Channel of City of Sanford, Florida. There's Always Something Going On in Historic Sanford. As one of the oldest ...",yes
UCGHxkgcWYs3Ei6v-leDbqeA,Oviedo City Government,"The official Youtube Channel for the City of Oviedo, Florida.",yes
UCXNYGZS97xfuVePY812ps6w,Edgewater Church,"Edgewater Church is located in Port Charlotte, FL. Our mission statement is ""Helping people meet, know, and serve Jesus Christ.",no
UCb-BK5qGhA4O70B7tV7OINw,Orlando Police Department,"This is the official YouTube page for the Orlando Police Department, where Central Florida's finest serve and protect the citizens of ...",yes
UCou1E64_rB5ael1nEdE4kww,Orlando Living With Dee,,no
UCXNYGZS97xfuVePY812ps6w,Edgewater Church,"Edgewater Church is located in Port Charlotte, FL. Our mission statement is ""Helping people meet, know, and serve Jesus Christ.",no
UCFTOwIsS90i2BgkBYE-fi1Q,vernon cooke,,"sorry, i need more information to assess if the channel is an official town or city youtube channel."
UCjNREJRwdElxbu-2BEeEY-Q,Orlando Pressure Washing Services,Central Florida Pressure Washing Services - 407-520-5275 Orlando Pressure Washing - Lake Mary Pressure Washing ...,no
UCMAN8Dz1VnM2hN8ehPKKCNw,BtonMan75,,no
UCfHz8KBE8GWPptMWttBbUMw,Neumorin,Doing the things.,no
