channel_id,channel_title,channel_description,is_official
UCkS9Tuhdex-Q9-bUCHfWMQw,"Seminole First Baptist Church, FL","Located in the city center of Seminole, FL, our vision is to be a fellowship of Christ followers helping you connect to God, connect ...",no
UCc7wuAd78XRfF9p3ALwBtcg,Early Learning Coalition of Seminole,"The purpose of the Early Learning Coalition of Seminole (ELC), now in its 19th year, is to provide access to quality early learning ...",yes
UCKTVWuZNqD865DyLfpVQPYw,Faith Church Seminole,"Faith Community Church is a gospel-centered community located in Seminole, Florida. We exist for the good of our city and the ...",no
UCrOGg6n2Qjw6yujcrwc0Z3g,"City of Sanford, FL","Official Youtube Channel of City of Sanford, Florida. There's Always Something Going On in Historic Sanford. As one of the oldest ...",yes
UCJUQOjPGrlEtAWWQzu04rgA,"City of Westlake, Florida",,yes
UCkS9Tuhdex-Q9-bUCHfWMQw,"Seminole First Baptist Church, FL","Located in the city center of Seminole, FL, our vision is to be a fellowship of Christ followers helping you connect to God, connect ...",no
UCrOGg6n2Qjw6yujcrwc0Z3g,"City of Sanford, FL","Official Youtube Channel of City of Sanford, Florida. There's Always Something Going On in Historic Sanford. As one of the oldest ...",yes
UCKTVWuZNqD865DyLfpVQPYw,Faith Church Seminole,"Faith Community Church is a gospel-centered community located in Seminole, Florida. We exist for the good of our city and the ...",no
UCJUQOjPGrlEtAWWQzu04rgA,"City of Westlake, Florida",,no
UCCCWuZPkLXKqGQxkAtH9r3g,Oviedo Florida,Call: 407-863-9833 Email: Hello@TheWestCollection.com The City of Oviedo has been ranked as one of the best places to live ...,no
