channel_id,channel_title,channel_description,is_official
UC6xiXNQi83y46ActCqxwnVA,City of Keystone Heights,,yes
UC8hz4ZHpTh4no5VoMCQnlBQ,Keystone Challenge Fund,"Keystone Challenge Fund is a non-profit organization established in 1991 in Lakeland, Florida. For over 20 years, Keystone has ...",no
UCKr9me5QJuC173tnPh_4k9g,City of Clearwater,"Thank you for visiting the YouTube channel for the bright and beautiful city of Clearwater, Florida. Learn more at ...",yes
UCT6_SxI7RxFrdJLoHi-02ag,Tarpon Springs City Hall,"The official government You Tube channel for the City of Tarpon Springs, Florida.",yes
UCU5ocMcwbaVkK5RgaKIZK_w,"City of Treasure Island, FL (Official Page)","Treasure Island, located along the Gulf of Mexico, is home to white sandy beaches, pristine waters, hotels, restaurants and ...",yes
UC6xiXNQi83y46ActCqxwnVA,City of Keystone Heights,,yes
UCI6vxWowcWx0xKUG2I_0jKw,Union Selecao,Pre-Academy Boys Soccer Team.,no
UC8hz4ZHpTh4no5VoMCQnlBQ,Keystone Challenge Fund,"Keystone Challenge Fund is a non-profit organization established in 1991 in Lakeland, Florida. For over 20 years, Keystone has ...",no
UCXesno2HSU97Es6aCMVp1Ww,ReedPop,"ReedPOP is the largest producer of pop culture events in the world, including New York Comic Con (NYCC), the Chicago Comic ...",no
UCmMMvJQChbaGrgSbM_AatsQ,Todd Schalhamer,,no
