channel_id,channel_title,channel_description,is_official
UCnMfkPwjPMtyJKjLO88GqwQ,City of Palm Beach Gardens,"This is the official YouTube channel for the City of Palm Beach Gardens, Florida, a Signature City which celebrates quality-of-life ...",yes
UCZQxC9_DiaHUZo9Ta131KYA,CITG Media Network,"Welcome to CITG! We are a vibrant, growing church in Palm Beach Gardens, Florida. Watch our live streams every Sunday ...",no
UCT75CNglCWafLTDkZF7ZMYw,Venture X Palm Beach Gardens - City Centre,,no
UC8I5opEq1KM8XVH3Rervmkw,WPB-TV,Welcome to the City of West Palm Beach's official YouTube channel. We broadcast live and prerecorded city meetings and videos ...,yes
UC0bCUnP5RrkJZUtd3bBz6Kw,WPTV News - FL Palm Beaches and Treasure Coast,"WPTV NewsChannel 5, the NBC affiliate in West Palm Beach, is Florida's top rated television station. WPTV covers Palm Beach ...",yes
UCnMfkPwjPMtyJKjLO88GqwQ,City of Palm Beach Gardens,"This is the official YouTube channel for the City of Palm Beach Gardens, Florida, a Signature City which celebrates quality-of-life ...",yes
UCZQxC9_DiaHUZo9Ta131KYA,CITG Media Network,"Welcome to CITG! We are a vibrant, growing church in Palm Beach Gardens, Florida. Watch our live streams every Sunday ...",no
UCT75CNglCWafLTDkZF7ZMYw,Venture X Palm Beach Gardens - City Centre,,no
UC0bCUnP5RrkJZUtd3bBz6Kw,WPTV News - FL Palm Beaches and Treasure Coast,"WPTV NewsChannel 5, the NBC affiliate in West Palm Beach, is Florida's top rated television station. WPTV covers Palm Beach ...",yes
UCsiRCdlxerCiMGNJFtU-FxA,Christ Fellowship Church,"Join us at 8:30AM, 10AM, and 11:45AM ET every Sunday! Christ Fellowship is a church in South Florida with a passion to help ...",no
