channel_id,channel_title,channel_description,is_official
UCg95gl9JdhVA3Zda0O2yhSQ,Palm Beach North Podcast,From the shores of Florida's Prosperity Coast comes the Palm Beach North Podcast produced by the Palm Beach North Chamber ...,no
UC8I5opEq1KM8XVH3Rervmkw,WPB-TV,Welcome to the City of West Palm Beach's official YouTube channel. We broadcast live and prerecorded city meetings and videos ...,yes
UCwG62CLxzPcfb0_Hu4ivx1w,adoptaunit,,no
UC6KcefKj7mvfC2wb3ED-lCQ,LIVING IN PALM BEACH FLORIDA,"Originally from New York, I relocated my family to South Florida 18 years ago. Knowing that we wanted to live in Florida but not ...",no
UCpZEq7PQY2F4ZWYMNHBwGSQ,"Munara - Real Estate Advisor, Palm Beaches Florida","Whether you're a listing a home for sale or buying a house in Palm Beach Gardens, Jupiter or the greater West Palm Beach area, ...",no
UCpZEq7PQY2F4ZWYMNHBwGSQ,"Munara - Real Estate Advisor, Palm Beaches Florida","Whether you're a listing a home for sale or buying a house in Palm Beach Gardens, Jupiter or the greater West Palm Beach area, ...",no
UCsA5KJGb1PS0DR9aWD0f7Uw,Florida Living,"Greetings! Are you wondering what it's like to live in north central Florida - specifically Flagler Beach, Palm Coast, St. Augustine, ...",no
UCLEBSfoZqOpTUWzfDoJZ8_w,Palm Beach Impressions,Local news on West Palm Beach biggest expansion plan since 2002.,no
UCOidqED9yGv4dYml52IXCYA,South Florida Real Estate - Cuomo Team,Welcome to the Cuomo Team's South Florida Real Estate channel! Our local team has been providing top-notch real estate ...,no
UC5zAWsPWetfJXOMDb1-ogEA,thepalmbeachgroup,The Palm Beach Group is a team of real estate professionals serving South Florida sellers and buyers.,no
