channel_id,channel_title,channel_description,is_official
UCX_4EaDefLDHi9ppxq1UWFQ,"City of South Pasadena, FL","Welcome to the City of South Pasadena, Florida's YouTube government channel. This channel is currently under construction, ...",yes
UCoZGfCtIaWI_SqcpvTa_Seg,Anytime Fitness South Pasadena,We are the Anytime Fitness of South Pasadena! As part of one of the biggest health clubs around the world we proudly introduce ...,no
UCU5ocMcwbaVkK5RgaKIZK_w,"City of Treasure Island, FL (Official Page)","Treasure Island, located along the Gulf of Mexico, is home to white sandy beaches, pristine waters, hotels, restaurants and ...",yes
UCAkNPf00JA9Ri0iKw7xFjPA,"St. Petersburg, FL",,no
UCx4-4RHo_bhTMQJNh6Du0AA,City of Tampa,"Tampa, home to over 340000 residents, is a vibrant, dynamic and beautiful city. Located on the banks of the Hillsborough River, ...",yes
UCX_4EaDefLDHi9ppxq1UWFQ,"City of South Pasadena, FL","Welcome to the City of South Pasadena, Florida's YouTube government channel. This channel is currently under construction, ...",yes
UCoZGfCtIaWI_SqcpvTa_Seg,Anytime Fitness South Pasadena,We are the Anytime Fitness of South Pasadena! As part of one of the biggest health clubs around the world we proudly introduce ...,no
UCoR3AaPsg1Bv_9KI03wrjBg,Home Safety Solutions,Home Safety Solutions is Tampa Bay's Storm Shielder since 1986. As one of the oldest full-service providers of hurricane & storm ...,no
UC5PrkGgI_cIaSStOyRmLAKA,One Bite Pizza Reviews,"Posted every Monday - Friday at 6pm ET. One bite everybody knows the rules. Barstool Founder Dave ""El Pres"" Portnoy reviews ...",no
UCu5HmqTmtTle1XKX-r3I9UQ,Lighthouse Church,Join us Sundays at 10:00am ET live online here on YouTube! All times and locations can be found at www.lighthouse.church.,no
