channel_id,channel_title,channel_description,is_official
UClefiftSY3PtSsyC6Z3juug,Juan Parada,,no
UC0bCUnP5RrkJZUtd3bBz6Kw,WPTV News - FL Palm Beaches and Treasure Coast,"WPTV NewsChannel 5, the NBC affiliate in West Palm Beach, is Florida's top rated television station. WPTV covers Palm Beach ...",yes
UCTgORvzgyWjxLUHhWQgALdg,Hipica TV,"La Transmisión Oficial en Español de Gulfstream Park, Santa Anita Park, Laurel Park, Pimlico, Pegasus World Cup y Preakness ...",yes
UC6KcefKj7mvfC2wb3ED-lCQ,LIVING IN PALM BEACH FLORIDA,"Originally from New York, I relocated my family to South Florida 18 years ago. Knowing that we wanted to live in Florida but not ...",no
UCB3o17bQUuwCk-JG3hVi62Q,SFcondos,We are a small property investing group with properties in South Florida and Central New Jersey. We provide beautiful rental ...,no
UCnrfJQzGmVbjOnhLLzsz01A,Palm Springs Seventh-day Adventist Church FL,Palm Springs Seventh-day Adventist Church FL 4424 S Military Trail Lake Worth 33463 Whattsapp 561-467-8956 Mobile: ...,no
UC8I5opEq1KM8XVH3Rervmkw,WPB-TV,Welcome to the City of West Palm Beach's official YouTube channel. We broadcast live and prerecorded city meetings and videos ...,yes
UCznA2roFMZo9c-ah7DXVRfA,Royal Palm Beach,,no
UC0bCUnP5RrkJZUtd3bBz6Kw,WPTV News - FL Palm Beaches and Treasure Coast,"WPTV NewsChannel 5, the NBC affiliate in West Palm Beach, is Florida's top rated television station. WPTV covers Palm Beach ...",yes
UCbGNYzmf5BUX6MXgNDre0dA,City Light Church,"City Light Church is an inter-denominational church in Ocala, FL led by Pastor Ken Brown. We are a church where life change ...",no
