channel_id,channel_title,channel_description,is_official
UC14oW1qFcB6kdLwmLGjsU3Q,City of Aventura,"Welcome to Aventura! Situated in the northeastern portion of Miami-Dade County and part of the Miami metropolitan area, ...",yes
UCDKqEUAWqPAEbsyYqunrABw,Aventura Florida Guide,"https://aventurafloridaguide.com/ Aventura Florida Guide is the place where all residents, visitors and all local Business MEET.",yes
UCie-n5bRQRmhatrtFsGcr5g,Aventura Mall,"Aventura Mall is the premier shopping destination in Miami and South Florida, and one of the top shopping centers in the U.S. ...",no
UCVtTjaaajzCaWsMxHBmTIsA,City of Hollywood,"The City of Hollywood, Florida's YouTube Channel contains videos produced by the Office of Communications, Marketing and ...",yes
UCsjG_WlAS2qv-Hic6K16o3w,City of Fort Lauderdale,"WeAreFTL: the official channel for the City of #FortLauderdale, a breathtaking coastal community in the heart of south Florida that ...",yes
UC14oW1qFcB6kdLwmLGjsU3Q,City of Aventura,"Welcome to Aventura! Situated in the northeastern portion of Miami-Dade County and part of the Miami metropolitan area, ...",yes
UCDKqEUAWqPAEbsyYqunrABw,Aventura Florida Guide,"https://aventurafloridaguide.com/ Aventura Florida Guide is the place where all residents, visitors and all local Business MEET.",no
UCNTuVMv2WRVnYcgJx7DjNPQ,Adventures With Purpose,AWP is a Dive Team who Searches Underwater for Missing People FREE of Charge for Families and Law Enforcement. ❤️.,no
UCuaQOAbWj98_mgoArKsSzlQ,CARI FERNANDEZ - FLORIDA REALTOR,"Bringing results to my sellers that is the main key. Listing Properties, marketing and closing. You will be working with a realtor that ...",no
UC5Nbm7ENZp-2_d62qJsd1JQ,Goran Jovanovic,"Real Estate information and news in the Miami metropolitan area, Florida USA.",no
