channel_id,channel_title,channel_description,is_official
UCiMhJgTG0XsRwQAnZcbIX1g,Lighthouse Church,"Lighthouse Church Panama City 4049 West 23d Street Panama City, FL 32405 850-230-9030.",no
UC_fv76e-azht11m4LwbUQ9Q,"Hiland Park Baptist Church of Panama City, FL",,yes
UCIQF6ORilTNOq43451WT0YA,City of Lynn Haven Florida,Lynn Haven City Commission meetings are normally held on the second and fourth Tuesdays of the month in the Chambers ...,yes
UCXQFw-NR6hiTphSw-CC2wpQ,"Emmaus United Methodist Church Panama City, FL",,no
UCQMkuG3WdZ7y2RJ6ysQs1-w,Carlisle Baptist,,no
UCiMhJgTG0XsRwQAnZcbIX1g,Lighthouse Church,"Lighthouse Church Panama City 4049 West 23d Street Panama City, FL 32405 850-230-9030.",no
UCQMkuG3WdZ7y2RJ6ysQs1-w,Carlisle Baptist,,no
UCN_nY718c-xuLD6obiasO7w,HighPraise,"""Epuipping Believers, Building Families, Furthering The Kingdom of God"" If you live in the Panhandle of Florida, or if you're just ...",no
UCaTW69tTuaJ4AKS3OUjTstQ,Il Piccolo Violino Magico,Il Piccolo Violino Magico - International Competition open to young violinist aged 9 to 13.,no
UCtimTq9t0ZzF7edKFuKBvKg,webmasterjc,Videos from The JenniferMackay.com - Panama City Real Estate Team on the Panama City Beach Florida Gulf Coast. Videos of ...,no
