channel_id,channel_title,channel_description,is_official
UC4UimES_xLEu_7VPyMrIeKA,The Villages Florida,"The Villages is an active retirement community located in sunny central Florida. Conceived over 50 years ago, our hometown has ...",yes
UCfNpnd-nWQm7HNT1kfPmurg,Retiring To The Villages Florida,"Everything about The Villages, Florida and much much more! Please join us on our journey to retiring full time in the Villages, ...",no
UCnDFH8sOGz653cess4ub-aQ,LIVING IN THE VILLAGES FLORIDA,"Are you wondering what it is like to live The Villages, Florida? Well, this is the channel you need! We absolutely love this town, ...",no
UCmORg6mJLyfNc2wpD6hk39A,The Village Guru Florida,"Welcome to The Village Guru Florida, A channel dedicated to everything real estate related on the Gulf Coast of Florida and ...",no
UCTF-wEnfKoqXo9WOk-1ev5w,Town of Fort Myers Beach FL,,yes 
UC4UimES_xLEu_7VPyMrIeKA,The Villages Florida,"The Villages is an active retirement community located in sunny central Florida. Conceived over 50 years ago, our hometown has ...",yes
UCQKsNwOpPPrRttqcNp1B-Gg,Time Out Villas,"Welcome to TimeOut Villas – Your Gateway to Unforgettable Orlando Experiences! At TimeOut Villas, we are dedicated to ...",no
UCVq6hkSHTakwLuvt5Me-abw,Exploring The Villages Florida,Join us (Dave and Brenda) as we explore The retirement community of The Villages Florida. We will explore new construction ...,no
UCMe8PdUDX-p9KQnP5WhJCzw,Panama City Beach Vacations,"Panama City Beach vacation rentals website from: pet friendly rentals, family vacation homes, beach front houses, Gulf front or ...",no
UCBIVQmIun6mhLmGt3npYfrw,Florida beaches,"florida, florida beaches, florida hotels, key west hotels, miami hotels, siesta key beach, best beaches in florida, panama city beach ...",no
