channel_id,channel_title,channel_description,is_official
UC0Tgjh474pDdq76fqjt3rFA,Crossroads Village Center,"Crossroads Village Center is designed to offer the best in urban living, with light, airy living spaces attracting various enterprises ...",no
UCW_uu-xANpNbitNi1c2E9kQ,St. Ann Catholic Church Haines City,"We believe, as a community, that each one of us has a unique contribution to make in the form of our time, God-given talents, and ...",yes
UC5onC7tUJ6HzU1_ORbIa-iA,tahuanting romero,,no
UCSw12u0SIvu5khLzkewwJPw,Cove Communities,,no
UCdzmPsG6-zJSpIxMK9yVdeQ,LIVING IN CENTRAL FLORIDA,"Are you wondering what it's like living in Central Florida? Well, this is the channel you need! I totally love this town and my #1 goal ...",no
UC89rQD66ctf4q7S8MObOtdA,City of Haines City,"The Official YouTube channel for Haines City, FL. Visit www.HainesCity.com.",yes
UCRpBNCVwEVvOV_EFYSfhrXg,"First Presbyterian Church Haines City, FL",First Presbyterian Church of Haines City FL https://fpchainescity.org.,no
UCaWzKHsea9iqQ-PwAJAGw2A,Lakeview SDAC Haines City Florida,,no
UC-Ha1sjLAZ-oI6TWZzVLiEg,Landmark Baptist Church,"Welcome to the official YouTube channel of Landmark Baptist Church in Haines City, Florida. This channel is for livestreaming our ...",yes
UCB8Shtl3x2Q0UTfWxgBCOWA,"Eastside Elementary Haines City, Florida",,yes
