channel_id,channel_title,channel_description,is_official
UCTgORvzgyWjxLUHhWQgALdg,Hipica TV,"La Transmisión Oficial en Español de Gulfstream Park, Santa Anita Park, Laurel Park, Pimlico, Pegasus World Cup y Preakness ...",no
UCRz71zd0sWdFbXPldnZud4A,Alberto Holcman,,no
UCTRzl9X2f5Tkx1-emrUXuSQ,the altem life,"Hello! Thanks for checking us out. Welcome to the altem life. On this channel, we show you all things to do in Florida! We do all ...",no
UCeD2dFOf23DXRhbxpznFZgw,Dylan Faner,"Welcome Miami Local Business, This is a channel for all the local business that decided to take the path less traveled and get ...",no
UCRUaZUbm9Yhoj-F9I7qRezA,The Golden Hour Channel,"Experimental channel featuring the ephemeral hour before sunset, that Golden Hour!",no
UCAthAfV8Iqgyl8znznZodlQ,City of Miami Beach TV,"This is the official ""You Tube"" home of the City of Miami Beach, Florida, government. Our communications department is ...",yes
UCpLk-3CMCwBZIqWQmr_LbsA,Realestatika,"Hi! I'm Katy, Im a real estate broker in South Florida. I specialize in Miami and the surrounding areas such as Fort Lauderdale, ...",no
UC2MligWiuiajrbTWTzr9nmg,Miami Real Estate - David Arzumanian,Welcome to my channel about Luxury Real Estate in Miami. My name is David Arzumanian and I have over 20 years of ...,no
UCJD0WvCd6-Pe84AOVsm8ELw,"L. ""Mila"" Khodorovsky | Miami Realtor | ","Hi Beautiful People! Your South Florida Luxury Real Estate Agent is here! Sales Professional, Luxury Expert in Homes and ...",no
UCVtTjaaajzCaWsMxHBmTIsA,City of Hollywood,"The City of Hollywood, Florida's YouTube Channel contains videos produced by the Office of Communications, Marketing and ...",yes
