channel_id,channel_title,channel_description,is_official
UCs75E8WDSGE-c8ZFAk3Hi2A,City of Faith FL,City Of Faith Church is a ministry dedicated to restoration by grace through faith! We are honored to be able to engage you ...,no
UCDXiZbgiwQ7aRYT2gsm7CSQ,Destination Fort Pierce,"Destination Fort Pierce is a 501c3 non profit organization which operates to promote the City of Fort Pierce, FL to the world.",yes
UC0_3_3ozRGDbKNv-g6bbogQ,fortpiercetours,"You will love getting away from it all and enjoying the natural beauty of Florida, come explore Fort Pierce, one of the oldest Florida ...",no
UC65XRsBCEf2yu8iao8nZcNw,Fort Pierce Downtown KOA Journey,Enjoy seaside breezes and concierge services at one of the closest KOAs to the beach between St. Augustine and the Florida ...,no
UC0wmqB_sIcVzdCTozqVOYog,"St Nicholas Greek Orthodox Church Ft Pierce,FL",,yes
UCs75E8WDSGE-c8ZFAk3Hi2A,City of Faith FL,City Of Faith Church is a ministry dedicated to restoration by grace through faith! We are honored to be able to engage you ...,no
UCDXiZbgiwQ7aRYT2gsm7CSQ,Destination Fort Pierce,"Destination Fort Pierce is a 501c3 non profit organization which operates to promote the City of Fort Pierce, FL to the world.",yes
UC0wmqB_sIcVzdCTozqVOYog,"St Nicholas Greek Orthodox Church Ft Pierce,FL",,yes
UC65XRsBCEf2yu8iao8nZcNw,Fort Pierce Downtown KOA Journey,Enjoy seaside breezes and concierge services at one of the closest KOAs to the beach between St. Augustine and the Florida ...,no
UC0_3_3ozRGDbKNv-g6bbogQ,fortpiercetours,"You will love getting away from it all and enjoying the natural beauty of Florida, come explore Fort Pierce, one of the oldest Florida ...",no
