channel_id,channel_title,channel_description,is_official
UCPaIwwcTnIXL7SI25MRouMw,citypsj,,"sorry, there is no description provided for the channel."
UCByKw5cw6msY9I7O9YYGy_w,Support Court with Judge Vonda B.,A courtroom based tv show involving cases with issues related to child support/spousal support in Texas. All episodes include ...,no
UCw-txvWcFAQF1d09pUyakJQ,Call The Peevys,"HGTV featured agents on ""Beach Hunters"" & ""How Close Can I Beach"" The Peevy Team | Serving Florida's Coastline since 1998!",no
UCtBZ2Ubmr6IC5CEizsfAppw,Living on the Florida Gulf Coast,"Moving to Florida Gulf Coast? Let's Chat! ⬇️   So you're thinking of moving to the Florida Gulf Coast? Well, we are your Gulf ...",no
UCKFGu7mnHwt6RVP-YL43lcA,Selling The Emerald Coast,From Port St. Joe to Panama City Beach and beyond. Come explore Florida's Emerald Coast.,no
UCPaIwwcTnIXL7SI25MRouMw,citypsj,,no
UCKFGu7mnHwt6RVP-YL43lcA,Selling The Emerald Coast,From Port St. Joe to Panama City Beach and beyond. Come explore Florida's Emerald Coast.,no
UCdnz20Jg_zshN7aD3j9sbfw,Florida Panhandle Shipwreck Trail,"Come visit 12 unique shipwrecks off Florida's beautiful Gulf coast. From Pensacola to Destin, Panama City to Port St. Joe, you can ...",no
UC81BjLJOwtyjovkIwrMWj7w,Emerald Coast Skyview,"Aerial scenes from the Emerald Coast of Florida including Panama City, Destin and Port St. Joe. Filmed with a DJI Phantom 2 ...",yes
UCtBZ2Ubmr6IC5CEizsfAppw,Living on the Florida Gulf Coast,"Moving to Florida Gulf Coast? Let's Chat! ⬇️   So you're thinking of moving to the Florida Gulf Coast? Well, we are your Gulf ...",no
