channel_id,channel_title,channel_description,is_official
UCwCRT49oK5sb4OEKcReIbdg,San Antonio Neighborhood Living!,"Moving to San Antonio? San Antonio real estate is affordable, compared to other major cities. If you live in San Antonio and you ...",yes
UCPnQ9S1ynmo3731gO9LJBLg,i Love Florida Living,"Helping you find the perfect spot in Greater Tampa Bay for over 20 years. I've lived in the area for 30+ years, soaking in the ...",no
UCfA5CSlYGseqSeOhsiiZTfw,Sturniolo Triplets,Triplet brothers documenting our life.,no
UCe1IA5kmY578O_Qo7Skr-TQ,Long Island Audit,Constitutional Activist Investigative Journalist Exercising Constitutional Rights in a respectful manner. We The People will NOT ...,no
UC3Vuq4Q1bKFtAiKYlwRv3oA,Peter Santenello,I make videos showing you a world that the media fails to capture. No BS polarization or political angle—just pure authentic ...,no
UCPnQ9S1ynmo3731gO9LJBLg,i Love Florida Living,"Helping you find the perfect spot in Greater Tampa Bay for over 20 years. I've lived in the area for 30+ years, soaking in the ...",no
UCwCRT49oK5sb4OEKcReIbdg,San Antonio Neighborhood Living!,"Moving to San Antonio? San Antonio real estate is affordable, compared to other major cities. If you live in San Antonio and you ...",no
UCLWiKMdHFWB2HnlpmDWrwqg,Living in Tampa Bay  by Antonio Adams,"Are you thinking about moving to Tampa, Florida? My goal is to help you buy, sell, or invest in real estate with confidence in the ...",no
UCgVAqdTQlTK7FP2s2anqnrw,Living in Tampa Florida,CONSIDERING A MOVE TO THE TAMPA AREA? Reach out to us ASAP! It's never too early to chat! We have a lot ...,no
UC3Vuq4Q1bKFtAiKYlwRv3oA,Peter Santenello,I make videos showing you a world that the media fails to capture. No BS polarization or political angle—just pure authentic ...,no
