channel_id,channel_title,channel_description,is_official
UCc2j0JhnR8Hx0Hj13RhCJag,City of Delray Beach,Delray Beach is a vibrant city with historic charm and award-winning beaches. www.delraybeachfl.gov.,yes
UCdzmPsG6-zJSpIxMK9yVdeQ,LIVING IN CENTRAL FLORIDA,"Are you wondering what it's like living in Central Florida? Well, this is the channel you need! I totally love this town and my #1 goal ...",no
UC0bCUnP5RrkJZUtd3bBz6Kw,WPTV News - FL Palm Beaches and Treasure Coast,"WPTV NewsChannel 5, the NBC affiliate in West Palm Beach, is Florida's top rated television station. WPTV covers Palm Beach ...",yes
UCwgdSJH988_jOR-IOlkeHhA,Tahuanting J. Romero,,"without the channel description provided, it is difficult to determine if the channel is an official town or city youtube channel."
UCxX69Xcm762HJ_d9wgyF-IA,JT Romero,,no
UCc2j0JhnR8Hx0Hj13RhCJag,City of Delray Beach,Delray Beach is a vibrant city with historic charm and award-winning beaches. www.delraybeachfl.gov.,yes
UCe-bbvvIEMc9lExxXFA4Hqg,Chad A. Vaughan - Saint Cloud Realtor,"Hi, I'm Chad Vaughan. I'm a Realtor serving all of Central Florida. Saint Cloud is home. I love simplifying real estate for my clients.",no
UC0uXlndgFDmvGnZeBB8t1Zw,Living in Central Florida,"Learn what the ""fuzz"" is all about living in Orlando, Florida, the Lake Nona area, Saint Cloud Florida, and Kissimmee Florida.",no
UC_MjaKEucIaoB8BfLexX9LQ,Bob Schoneman Realtor Living In Orlando Florida,"Faith, Family and Real Estate: If you're not having a blast with all 3 of these; you are doing it wrong!",no
UCdzmPsG6-zJSpIxMK9yVdeQ,LIVING IN CENTRAL FLORIDA,"Are you wondering what it's like living in Central Florida? Well, this is the channel you need! I totally love this town and my #1 goal ...",no
