channel_id,channel_title,channel_description,is_official
UCZ1SjA-B-zfm-CE6BhSP28g,Florida Drone Experts,,no
UCowJ84ZaG3HRrFGAISFx0uQ,grandpa alex,"Driving in Florida videos , every day life.",no
UCMWyaByhnJ1XZCCZxzjRkiQ,The Florida Agents,Hey there. We are Tom and Shirley Guercio— an award-winning husband and wife real estate team in the Clermont / Winter ...,no
UCxoj144x33hmdvwm2Upiyhg,LakeFront TV,Lake Front TV is the 24/7 television channel based in Lake County. . We provide quality community programming profiling the best ...,no
UCy9RpLRNl9smN4zqjiA6YwQ,Living in Orlando Florida,"Moving to/from/around Orlando Florida? Let's Chat! ⬇️ We are all about living in and around Orlando Florida, moving to Orlando ...",yes
UCZ1SjA-B-zfm-CE6BhSP28g,Florida Drone Experts,,no
UCowJ84ZaG3HRrFGAISFx0uQ,grandpa alex,"Driving in Florida videos , every day life.",no
UCMWyaByhnJ1XZCCZxzjRkiQ,The Florida Agents,Hey there. We are Tom and Shirley Guercio— an award-winning husband and wife real estate team in the Clermont / Winter ...,no
UCwgPmWgeefqzo9TXLytMGOw,Keisha ,,no
UClCUDXz1lQfSc7tn7zBLdmg,Florida State Body  Cam,,no
