channel_id,channel_title,channel_description,is_official
UCnukjV-mZHhvzzq1h66SChw,PUT ON 4 UR CITY,NEW YOUTUBE CHANNEL ➡️ https://youtube.com/channel/UCyDBEyaW4DoMi6rM9Yn7zmA FOLLOW ME ON ...,no
UCpMBkxrG65oDNYYUukMBw-g,Hawthorne Hills - A Cobblestone Community,Enjoy an active lifestyle in our 55+ retirement community of Hawthorne Hills. Located midway between Orlando and Daytona ...,no
UCzakT_HwTAvVcDqfVkC2cdA,ZKH Films,I'm a videographer in high school. Striving to capture and create stories the world deserves to see. As well as inspire other young ...,no
UCwRWzHErm1t689v_v2VGFPA,The Funky Cyclist,,no
UCzmOxoxu8Ei7kYixwoPXDWQ,Timothy Hawthorne,"A public scholar committed to doing good with maps, apps and drones. Assistant Professor of GIS at UCF and State Geography ...",no
UCnukjV-mZHhvzzq1h66SChw,PUT ON 4 UR CITY,NEW YOUTUBE CHANNEL ➡️ https://youtube.com/channel/UCyDBEyaW4DoMi6rM9Yn7zmA FOLLOW ME ON ...,no
UCpMBkxrG65oDNYYUukMBw-g,Hawthorne Hills - A Cobblestone Community,Enjoy an active lifestyle in our 55+ retirement community of Hawthorne Hills. Located midway between Orlando and Daytona ...,no
UCzmOxoxu8Ei7kYixwoPXDWQ,Timothy Hawthorne,"A public scholar committed to doing good with maps, apps and drones. Assistant Professor of GIS at UCF and State Geography ...",no
UCqtjdWqX85SKxVwCRgaJbkw,Sara Carrolli,Books & vlogs ✨    ‍,no
UCwRWzHErm1t689v_v2VGFPA,The Funky Cyclist,,no
