channel_id,channel_title,channel_description,is_official
UCMiXJJbJPvCE-cvgqnNBURw,MJ Selling Paradise,Curious about life in the Florida Keys? Whether you are just visiting or looking to make this extraordinary destination your ...,no
UCtFMVZFDPDoZwtFv-6Rx1jQ,Bud n' Mary's Marina,Bud N' Mary's YouTube Show featuring fishing in Islamorada and the Florida Keys out of the world famous Bud n' Mary's Fishing ...,no
UCBqPi_8ANzGyCLd7_3vIyOA,FirstCommandChannel,Welcome to First Command's channel! We coach military families in their pursuit of financial security. Our financial advisors shape ...,no
UCbvj_6ngym1w8ZX7q0VLF0A,Ronald Layton,,no
UCGQlAiaKbrJfWMrPcUoPm2Q,O.T ZippyFlippy,NO BAD VIBES! Zippy Flippy live and direct 904 Duval by way of 513. Music can be therapeutic so I got plenty for ya. All music ...,no
UCBqPi_8ANzGyCLd7_3vIyOA,FirstCommandChannel,Welcome to First Command's channel! We coach military families in their pursuit of financial security. Our financial advisors shape ...,no
UCbvj_6ngym1w8ZX7q0VLF0A,Ronald Layton,,no
UCGQlAiaKbrJfWMrPcUoPm2Q,O.T ZippyFlippy,NO BAD VIBES! Zippy Flippy live and direct 904 Duval by way of 513. Music can be therapeutic so I got plenty for ya. All music ...,no
UCm28O_nQk11ZGa_6f9D-SQQ,thecoolestnancy,Life is not a rehearsal.,no
UC6YccNhbAHuOVsAyWOWRozA,Julio Guzman,,no
