channel_id,channel_title,channel_description,is_official
UC6LCwS2osKc1ku8b0sUqAEg,City DFS Live Stream,City of DeFuniak Springs Live Meetings.,yes
UC-w7a2JMeML8i7QiuImfLZQ,"City of DeFuniak Springs, FL","News, events and feature stories about historic DeFuniak Springs, FL produced by the City of DeFuniak Springs.",yes
UCI8Ydl7p4ZLAzvv9-FyGFqg,WJHG-TV NewsChannel 7 | Northwest Florida,NewsChannel 7 is Northwest Florida's news leader. Have a news tip? Call: 850-234-7777 ext 1 or email news@wjhg.com.,yes
UCfnsWGN5thNUp_QKObM58bA,WMBB News 13,"WMBB News 13 News, Weather, Sports and more from across the Florida Panhandle. Located in Panama City, Florida.",yes
UCiGO8sK-3WbRJmO8sHhN-jA,Coastal Connection TV,News and Happening along the Florida Panhandle.,no
UC6LCwS2osKc1ku8b0sUqAEg,City DFS Live Stream,City of DeFuniak Springs Live Meetings.,yes
UC-w7a2JMeML8i7QiuImfLZQ,"City of DeFuniak Springs, FL","News, events and feature stories about historic DeFuniak Springs, FL produced by the City of DeFuniak Springs.",yes
UCArzoQbOrtyjgeM4gXo5nvQ,DeFuniak Springs Herald Beach Breeze,"Local new For DeFuniak Springs and Walton County, Florida.",yes
UCGB11bd6OIeDZmMkNuHOhJg,fadetoblackmm,,"sorry, i need a bit more information in order to make a determination. could you please provide the full description of the youtube channel?"
UCfnsWGN5thNUp_QKObM58bA,WMBB News 13,"WMBB News 13 News, Weather, Sports and more from across the Florida Panhandle. Located in Panama City, Florida.",yes
