channel_id,channel_title,channel_description,is_official
UCsjG_WlAS2qv-Hic6K16o3w,City of Fort Lauderdale,"WeAreFTL: the official channel for the City of #FortLauderdale, a breathtaking coastal community in the heart of south Florida that ...",yes
UCU2uyfHx6HAvywVyPhNfiXw,"LAS OLAS CITY CENTRE FORT LAUDERDALE, FL",,no
UCsprMhyXP67xlrU0tHiAGaw,Pentecostal City Mission Church—Fort Lauderdale,"A bible believing body of believers, followers of Christ, whose main purpose is to lift up the name of Jesus, to sing His praises, ...",no
UCWzfy_7pMANNgLETQy08tow,Living in Fort Lauderdale Florida,"Are you wondering what it is like to live in Fort Lauderdale Florida? Well, this is the channel you need! We absolutely love this ...",no
UCrRm32cN_Npb-9Lxp3-70dA,City Walk,Embark on an exciting adventure with @CityWalk. and discover the world's most fascinating travel destinations. From bustling ...,no
UCsjG_WlAS2qv-Hic6K16o3w,City of Fort Lauderdale,"WeAreFTL: the official channel for the City of #FortLauderdale, a breathtaking coastal community in the heart of south Florida that ...",yes
UCsprMhyXP67xlrU0tHiAGaw,Pentecostal City Mission Church—Fort Lauderdale,"A bible believing body of believers, followers of Christ, whose main purpose is to lift up the name of Jesus, to sing His praises, ...",no
UCn7YBmTy2fKvinLiZPZYcIQ,CFLCA Florida,"The Council of Fort Lauderdale Civic Associations” was formed in 1980. According to our Bylaws, the purpose of the Council is to ...",yes
UCU2uyfHx6HAvywVyPhNfiXw,"LAS OLAS CITY CENTRE FORT LAUDERDALE, FL",,no
UCVtTjaaajzCaWsMxHBmTIsA,City of Hollywood,"The City of Hollywood, Florida's YouTube Channel contains videos produced by the Office of Communications, Marketing and ...",yes
