channel_id,channel_title,channel_description,is_official
UCkthwkIApmmJ8YbpHSIbC_g,LIVING IN VERO BEACH  FLORIDA | ALEX ARTEAGA PA ,"Are you wondering what it is like to live in Vero Beach, Florida? Well, this is the channel you need! We absolutely love this town ...",no
UChoXriK3GHv4ASGKla9nDBw,Living In Vero Beach And Sebastian Florida,Hey everyone and welcome to my channel! I live right here in Sebastian Florida and I want to show you all the unique lifestyle that ...,no
UCBtKyMdZ_3yl2rE5m-sVFLg,Living in Vero Beach Florida,"Are you wondering what it is like to live in Vero Beach and the surrounding Treasure Coast? Well, this is the channel you need!",no
UCwJggJmmIolNe13N18T2iLA,Pathway Church Vero Beach,"Pathway Church | Vero Beach, FL Welcome to Pathway Church! We are located in the sleepy beach town of Vero Beach, Florida.",no
UCPAZgHKw2IfPy0ESjpK35EA,Vero Beach Florida,Vero Beach Florida | Vero Beach is a beachside city in Indian River County on the Treasure Coast on the East Coast of Florida.,yes
UCPAZgHKw2IfPy0ESjpK35EA,Vero Beach Florida,Vero Beach Florida | Vero Beach is a beachside city in Indian River County on the Treasure Coast on the East Coast of Florida.,yes
UCBtKyMdZ_3yl2rE5m-sVFLg,Living in Vero Beach Florida,"Are you wondering what it is like to live in Vero Beach and the surrounding Treasure Coast? Well, this is the channel you need!",no
UCLFO4EahDvry17oHlevIMuA,The Carroll Home Team - Vero Beach Real Estate,"Welcome to our channel! Rachael Carroll here, me & my team of REALTOR®s are all about ELEVATING your Real Estate ...",no
UCBsNXjrDVEXqoBM8clPw4_A,Panama City Beach Real Estate,,no
UCAZ7NvEbYCgSksMZRltZADg,Surf City Surf Shop,"Surf City Surf Shop is a family owned and operated surf and skate shop located in Vero Beach, Florida. Support Locals.",no
