channel_id,channel_title,channel_description,is_official
UC-W-rF_hcfNJAg8D2s6K1NA,The Town of Pembroke Park,,no
UC5C4-X_lLc_8dZ3pJzYRkZA,Pembroke Pines Media,The City of Pembroke Pines provides local information and entertainment about Broward County's 2nd largest city through ...,yes
UCsjG_WlAS2qv-Hic6K16o3w,City of Fort Lauderdale,"WeAreFTL: the official channel for the City of #FortLauderdale, a breathtaking coastal community in the heart of south Florida that ...",yes
UCyeUFhilBLvnnYx1jOJ2Jkg,RWT Adventures [Roadtrippin' with Takacs],"We are Jason, Alison, Preston, and Grayson. Stargazers, hikers, and RVers living the dream!",no
UCOAsS_oXDEida5PdhtJwYuA,"City of Opa-locka, FL",City of Opa-locka's Official YouTube Channel.,yes
UC-W-rF_hcfNJAg8D2s6K1NA,The Town of Pembroke Park,,yes
UC5C4-X_lLc_8dZ3pJzYRkZA,Pembroke Pines Media,The City of Pembroke Pines provides local information and entertainment about Broward County's 2nd largest city through ...,yes
UCsjG_WlAS2qv-Hic6K16o3w,City of Fort Lauderdale,"WeAreFTL: the official channel for the City of #FortLauderdale, a breathtaking coastal community in the heart of south Florida that ...",yes
UCP1V_1OlGaTqrqgRWSyh2Ow,Florida International University,Florida International University is a Top 50 public university that drives real talent and innovation in Miami and globally.,yes
UCVtTjaaajzCaWsMxHBmTIsA,City of Hollywood,"The City of Hollywood, Florida's YouTube Channel contains videos produced by the Office of Communications, Marketing and ...",yes
