channel_id,channel_title,channel_description,is_official
UCBpuIQuqACk5uV_0hSfITKg,REAL Living In Orlando Florida,"Are you wondering what it is like to live in Orlando Florida? Well, this is the channel you need! We absolutely love this town and ...",no
UCagNLZaK6bMMEMxcJgGkwFA,Moving  to Orlando Florida ,"Are you wondering what it is like to live in Orlando Florida? Well, on this channel we give you all the information that you need!",no
UC9rYuNYZ-AdxAtpQDF_TZGQ,Oldtown Slingshot,"Thank you for visiting our Slingshot Kissimmee youtube channel!! ""Slingshot"" $30 / Per Rider $20 / USB Video $20 / T-shirt $55 ...",no
UCZoo7Mts5-lBQpbaWGQuHTw,New Homes Orlando Florida - Dolores Paredes,Description Are you wondering what it is like to live in Orlando Florida? Well this is the channel you need! We absolutely love this ...,no
UCmTIH6yuHF1MzBkJqavoG6w,Cycle RealTour,"Are you wondering what it is like to live in Orlando, Florida? Well, this is the channel you need! We absolutely love this town and ...",no
UCTOsxjDi8Wow6xhEbGvVugA,CityofOrlando,City of Orlando Municipal Government.,yes
UChtSE1ls1wz5uSoYcbQbftA,Orlando Living,Welcome to your ultimate Orlando relocation guide! This channel is your indispensable tool for every aspect related to life in the ...,yes
UCDhn6VfXeybVLg9gDXBv_xg,LIVING IN BEAUTIFUL ORLANDO FLORIDA,"Are you wondering what it is like to live in Orlando, FL, The City Beautiful? Well, this is the channel that has everything you will ...",no
UC0qnz11Nnqk1XWzLVU0F4kg,Univision Orlando,Univision Orlando es el espacio digital de noticias para que los residentes de la comunidad hispana en la entidad encuentren ...,yes
UCvYH3_5UmO032Gi6NxJIokA,Living in Orlando Florida,"Buying or selling real estate in Orlando? Let's chat! Welcome to ""Living in Orlando Florida: Your Gateway to the Sunshine State!",no
