channel_id,channel_title,channel_description,is_official
UCsy4m13hXUCnKjxWwei1vNw,"Living in Navarre, Florida ","Are you wondering what it is like to live in Navarre, Florida? Well, this is the channel you need! We absolutely love this town and ...",no
UCbwKMACSqRgkku7LSo5bkLQ,FlyTheDronez Navarre Florida,www.FlyTheDronez.com Drone business in Navarre Florida. Highly specialized in aerial images of any kind you demand. We offer ...,no
UCFxb5wNVufRcN0xl1UvmQsQ,Living on the Emerald Coast Florida,"Discover the perfect coastal paradise for your next chapter in life! We are your ultimate guide to living on, investing and relocating ...",no
UCoRap5thrXhU2B7WUMpuC8Q,Navarre Kayak Fishing,"Navarre Kayak Fishing offers Kayak Fishing Charters from Pensacola - Miramar Beach, FL. The YouTube channel was created to ...",no
UCWYf4Z1yYL1B4MFBpi5IICQ,Living in Destin-Fort Walton Beach FL,"Are you wondering what it is like to live in Destin - Fort Walton Beach Florida? Well, this is the channel you need! We absolutely ...",no
UCbwKMACSqRgkku7LSo5bkLQ,FlyTheDronez Navarre Florida,www.FlyTheDronez.com Drone business in Navarre Florida. Highly specialized in aerial images of any kind you demand. We offer ...,no
UCsy4m13hXUCnKjxWwei1vNw,"Living in Navarre, Florida ","Are you wondering what it is like to live in Navarre, Florida? Well, this is the channel you need! We absolutely love this town and ...",no
UCFxb5wNVufRcN0xl1UvmQsQ,Living on the Emerald Coast Florida,"Discover the perfect coastal paradise for your next chapter in life! We are your ultimate guide to living on, investing and relocating ...",no
UCPDPB6iDcz0aI3YWHyK2tsg,Florida Streets,"""Florida Streets is the perfect channel for those who want to experience the beautiful state of Florida from the comfort of their home ...",no
UCYndaRPbzOe4Z8qWdbMBUrw,Living In The Emerald Coast,"Are you looking to Move or Relocate to the beautiful Florida Emerald Coast? You are not alone, we too made the big move and ...",no
