channel_id,channel_title,channel_description,is_official
UC56TYFqbRwtVHCOM1PEhFLQ,Altamonte Springs Yoga,"At Altamonte Springs Yoga it is our mission to honor and embrace each student's journey to personal growth, wellbeing, and ...",no
UC-2mUL9tYotlHkMg6PqyhVQ,Robert Frankenstein | Orlando Florida Real Estate,"Hi there! My name is Robert Frankenstein, and I'd like to welcome you to my channel. I'm a 23-year-old, born-and-raised Floridian ...",no
UCK4EEFCse6H7XUCPuSBQkKw,Florida Home Show,"We give you Florida home tours, real estate market updates, and insights on the Sunshine State so you can stay up to date on ...",no
UCqPRca4RbI5B0sDpkKujOQQ,316impact,"Drama Ministry of Forest City SDA Church in Altamonte Springs, FL. Ministerio de Drama - Iglesia Adventista de Forest City en ...",no
UCj_Z6zkXP8I8gAf7r13WqRQ,365daysofOrlando,,no
UC-2mUL9tYotlHkMg6PqyhVQ,Robert Frankenstein | Orlando Florida Real Estate,"Hi there! My name is Robert Frankenstein, and I'd like to welcome you to my channel. I'm a 23-year-old, born-and-raised Floridian ...",no
UCK4EEFCse6H7XUCPuSBQkKw,Florida Home Show,"We give you Florida home tours, real estate market updates, and insights on the Sunshine State so you can stay up to date on ...",no
UCqPRca4RbI5B0sDpkKujOQQ,316impact,"Drama Ministry of Forest City SDA Church in Altamonte Springs, FL. Ministerio de Drama - Iglesia Adventista de Forest City en ...",no
UClrUdJg8r-PBZTAXvffQd7A,mycitycollege,"City College is a private college offering degree and diploma programs in healthcare. Programs offered: EMT Diploma, Paramedic ...",no
UCNad3Mtfh5eovS1oM9zB2vg,Searching for Wilberforce FL,"This is a channel where Florida abolitionists, Florida legislators, and Florida constituents can repent of our tolerance of the ...",no
