channel_id,channel_title,channel_description,is_official
UC_GCWkSDQ75CGjasHV20gNg,BillG,,no
UCsETCk0YSV0FhsYxQadpnKA,Tallahassee Police Department,The Tallahassee Police Department has a distinguished 170-year history of protecting and serving Florida's Capital City while ...,yes
UCZF_rJhogITiAGgC4iUx5pA,Aron Diaz,,no
UCfnipN5rfHD57ah2ClyUl3w,Robert Seidler,"We are a multi-generational group of educators, designers and filmmakers that are pro-active and solution based. Our passion ...",no
UC-VtLB1dfHHkp1_xnYHqQPw,MD Adventures,"Showcasing RV Life through videos that include RV tips and tricks, RV tours, campground tours and camping trips. New videos ...",no
UC_GCWkSDQ75CGjasHV20gNg,BillG,,no
UC-VtLB1dfHHkp1_xnYHqQPw,MD Adventures,"Showcasing RV Life through videos that include RV tips and tricks, RV tours, campground tours and camping trips. New videos ...",no
UCZF_rJhogITiAGgC4iUx5pA,Aron Diaz,,no
UCfnipN5rfHD57ah2ClyUl3w,Robert Seidler,"We are a multi-generational group of educators, designers and filmmakers that are pro-active and solution based. Our passion ...",no
UCfp1b0uNTE5VN6sESqu4I1w,Eric Griffis,these are my documentaries.,no
