channel_id,channel_title,channel_description,is_official
UCx5UjBwAwvBXxrNo56ueRBA,Punta Gorda Living with James Cloud,"Hi, my name is James Cloud! If you're considering a move to Punta Gorda, Florida, or exploring the surrounding areas, you've ...",no
UCBzLkSeO5KcnTKXbncwF6Lw,Century 21 Aztec & Associates,"Century 21 Aztec & Associates is a real estate firm located in Charlotte Harbor, FL that has served Southwest Florida with ...",no
UCXNSJJW8p42B2k8LxXVXofw,Palm Automall,"With 12 dealerships in one location, we are southwest Florida's ultimate destination for new and pre-owned cars and trucks.",no
UCtIc18TmY6BUyQYJulcrzsA,tapflorida,,"sorry, there seems to be missing information in your prompt. could you please provide the description of the youtube channel ""tapflorida"" so i can assess whether it is an official town or city youtube channel?"
UCor-ubahsFT3DUloF0SYXgw,Dana Hile,,no
UC-Qo-k4PpXWo4IJQah6_Kqw,City of Punta Gorda,Punta Gorda is the best small city in Florida. The waterfront city of approximately 20000 residents is located one mile from ...,yes
UCPGOUOuy7_cDpAu3_E8J5pQ,PUNTAGORDACOPS RFASCIST,,no
UCi8qwjhZmUgy-9jcV6wJoRQ,MuscleCarCityFL,,no
UCSglLeQ4c-rFiO3i85EQlwg,Public Works,,yes
UC5JA2-4HV7YrVEs-r4FmqxQ,Gregory Gordon,,no
