channel_id,channel_title,channel_description,is_official
UCPDPB6iDcz0aI3YWHyK2tsg,Florida Streets,"""Florida Streets is the perfect channel for those who want to experience the beautiful state of Florida from the comfort of their home ...",no
UCKp_L0Dw9Tl4qep2FmjOI1g,Visit Panama City Beach,"The best beach this side of paradise, Panama City Beach Florida offers 27 miles of stunning white sand, emerald green waters ...",no
UCIQF6ORilTNOq43451WT0YA,City of Lynn Haven Florida,Lynn Haven City Commission meetings are normally held on the second and fourth Tuesdays of the month in the Chambers ...,yes
UC9-7NK79k1yRDvY6w2QHw8w,Beach TV - Panama City Beach,"Beach TV is just what it sounds like… a television station dedicated to the beach and beach lifestyle. Beautiful, warm, colorful ...",yes
UC_fv76e-azht11m4LwbUQ9Q,"Hiland Park Baptist Church of Panama City, FL",,yes
UCPDPB6iDcz0aI3YWHyK2tsg,Florida Streets,"""Florida Streets is the perfect channel for those who want to experience the beautiful state of Florida from the comfort of their home ...",no
UCVdJyqkzGwzc0zhVQCD8Iqw,Jerry Morgan,"written and narrated by JERRY MORGAN produced by Kiss My Donkey Records Panama City Beach, FL ...",no
UCvSHIcnBptCBBQKuneQB3pQ,BtsSigns,,no
UCNqsKxeYI6LNV2Q0e8OVLJQ,Noah A. Freeman 34,Outta Dardanelle AR Justa living life.,no
UCJxWlR14HdL-m3RM3aNMwqg,Vicky Vanderzee,"Amusing pet videos, beautiful sunsets and sunrises on the ocean and overlooking the mountains. Subscribe today, don't miss out ...",no
