channel_id,channel_title,channel_description,is_official
UCkuMLRHgvBBNRsQzBZAtkWQ,City of Okeechobee,"If you're looking for a friendly, rural, small town community with a forward-thinking attitude, you'll feel right at home here in ...",yes
UCPR0A3DS38L8EFf7BjeYnJw,United Riders of the treasure coast,United bike rides of south Florida.,no
UC39PF1Xda2nOFxAFzFZA5Ig,Daybreaktherockband,"Daybreak is a hard rock band hailing from the small town of Okeechobee Florida, but being from a small town in south florida ...",no
UCxaPVRxg696tNepdnPqqY3g,Land Thrill,,no
UC9Voi9YAH6B_tbD1_PKq77A,Stockworth,"Stockworth Realty Group is a concierge real estate brokerage serving the Orlando, Florida area. Stockworth has a successful track ...",no
UCkuMLRHgvBBNRsQzBZAtkWQ,City of Okeechobee,"If you're looking for a friendly, rural, small town community with a forward-thinking attitude, you'll feel right at home here in ...",yes
UCiRU2pz0ifLJ2m7MUjtEBgw,OUAFlorida,The Okeechobee Utility Authority (OUA) is a government entity that began full operation of the water and wastewater systems of ...,yes
UC9Voi9YAH6B_tbD1_PKq77A,Stockworth,"Stockworth Realty Group is a concierge real estate brokerage serving the Orlando, Florida area. Stockworth has a successful track ...",no
UC77ksJDnuByRXtSBxsm8cmQ,Dollar cost Backpacker,"Backpacking, cryptoenthusiast.",no
UCaX-Q6JReUkNDQhENKVGWaA,TheCristianovargas,,no
