channel_id,channel_title,channel_description,is_official
UCKr9me5QJuC173tnPh_4k9g,City of Clearwater,"Thank you for visiting the YouTube channel for the bright and beautiful city of Clearwater, Florida. Learn more at ...",yes
UCgqvc0Niv63fUwBJgiyvUtw,UU Clearwater,"Join the Unitarian Universalists of Clearwater here on YouTube, on the web at www.uuc.org, or on FaceBook at www.",no
UCJGBf4dcXC-FVeV_YsnW10g,"Living in St Pete Beach & Clearwater, Florida","As a lead real estate agent, my family's spirit of adventure and the management of our family jet ski business since 2007 have ...",no
UCOTJgUwO3Esy4oSF8jdff8g,Living In St.Petersburg Florida,"If you're wondering what it's like to live in St.Petersburg Florida, well this is the channel you need. We absolutely love this town ...",no
UCwduIWEkjbt0TCqFcHF9_XQ,Realty Executives Gallery Clearwater,Realty Executives Gallery - Clearwater.,yes
UCKr9me5QJuC173tnPh_4k9g,City of Clearwater,"Thank you for visiting the YouTube channel for the bright and beautiful city of Clearwater, Florida. Learn more at ...",yes
UCLiY0F3PDjiWQAqjOFFCcOw,Visit Clearwater Florida,"Clearwater is 100 years old this year! As a top year-round destination, Clearwater offers a seemingly endless supply of ...",no
UCTrhHFLQmSUf53SRW3lBYhQ,LIVING IN CLEARWATER FLORIDA,"This channel is all about living in Clearwater Florida, moving to Clearwater FL, and relocating to Clearwater Florida. We also ...",no
UCWwD99G5I7IOvOR00bsTDIw,Clearwater Police Department,Official You Tube Channel of the Clearwater Police Department and Clearwater Fire & Rescue.,yes
UCWWd5zn0ZztpjAWmva8feGg,Living in Clearwater Florida,"I am a Broker Associate, real estate agent with over 28 years experience living in Pinellas County, Florida. I like to make videos of ...",no
