channel_id,channel_title,channel_description,is_official
UCSCzXpZ82FfA5udLY6WynCQ,Town of Miami Lakes,"When it incorporated in December 2000, the Town of Miami Lakes became the 31st municipality in Miami-Dade County. Known ...",yes
UCAthAfV8Iqgyl8znznZodlQ,City of Miami Beach TV,"This is the official ""You Tube"" home of the City of Miami Beach, Florida, government. Our communications department is ...",yes
UCSsI2UhZkrUHM0HjP9T7wDQ,City of Miami Gov,The Official City of Miami YouTube Channel.,yes
UCsjG_WlAS2qv-Hic6K16o3w,City of Fort Lauderdale,"WeAreFTL: the official channel for the City of #FortLauderdale, a breathtaking coastal community in the heart of south Florida that ...",yes
UClAfziZQ5Gra8DrGRzyq37w,Town of Davie TV,"This is the official ""YouTube"" home of the Town of Davie, Florida, government. Our Public Information Office is responsible for the ...",yes
UCNyaqZjLVNgEgsUxtM4FiEg,Marcel Martin | Realtor | Living in Miami,"Welcome to the ultimate Miami real estate experience! Dive deep into the heart of Miami with Marcel Martin, your guide to ...",no
UCnFr-pZIWMPJFVrXodclwug,NFFOnDemand,"Founded in 1947 with early leadership from General Douglas MacArthur, legendary Army coach Earl ""Red"" Blaik and immortal ...",no
UC9mxUt_fmUxlP2qxOiCTgRg,Miami Eyes ME,"Living in Miami for the last 40 years , my main hobbie , RC planes pilot and now with drones and must of all cycling ,love cruises ...",no
UCk6ijJA_fOmq28XjRQYmLRA,Tampa Jay,I've always had this desire inside of me to EXPLORE. This channel has helped me to get “out there” and find some new ...,no
UC5mvgLtL2vEHgM9ZIM9Za1A,Virtual Edge 360,Virtual Edge 360 is a fully licensed and insured drone photography and video production company currently servicing all of ...,no
