channel_id,channel_title,channel_description,is_official
UClQ5YA-_rKtTlz5GSm__fTA,Ocala Horse Properties,"The leading equestrian & luxury property real estate company in Ocala, Florida. The team has led the Ocala farm sales market ...",no
UCbGNYzmf5BUX6MXgNDre0dA,City Light Church,"City Light Church is an inter-denominational church in Ocala, FL led by Pastor Ken Brown. We are a church where life change ...",no
UCABkTke04RnH5SCqooNSuQQ,Living in Ocala Florida,"Are you wondering what it is like to live in Ocala Florida? Well, this is the channel you need! I absolutely love this town and our #1 ...",no
UCg3XZCPLHDxb7AQYOoKEaLQ,Living In Ocala Florida,Welcome to Ocala! An artistic and historic city located in Central Florida with so much to do! Ocala has so much to offer and we ...,no
UCvP7mphCSXflbidh4MwvRoA,Ocala Town and Country Real Estate LLC,,no
UCbGNYzmf5BUX6MXgNDre0dA,City Light Church,"City Light Church is an inter-denominational church in Ocala, FL led by Pastor Ken Brown. We are a church where life change ...",no
UCa_fTTxovckDtibNzPggZnA,Around Ocala,"Welcome to Aroundocala! We are now living in Ocala and loving it! The plan is to show you around the city, rural areas and some ...",yes
UCg3XZCPLHDxb7AQYOoKEaLQ,Living In Ocala Florida,Welcome to Ocala! An artistic and historic city located in Central Florida with so much to do! Ocala has so much to offer and we ...,no
UClQ5YA-_rKtTlz5GSm__fTA,Ocala Horse Properties,"The leading equestrian & luxury property real estate company in Ocala, Florida. The team has led the Ocala farm sales market ...",no
UChXxehrCGFzlEa2bxPvDICg,Zach Day | Ocala Realtor,"Are you wondering what it's like to live in Ocala, Florida? Well, this is the channel you need! I absolutely love this city, and my #1 ...",no
