channel_id,channel_title,channel_description,is_official
UCZ4axx9zZ4DRT-d8D0NoD_g,Stuart FL Real Estate,"Homes, Condos and Land for Sale in Martin and saint Lucie Counties of Florida's Treasure Coast presented by Gabe Sanders ...",no
UC2l9IxwePpQVP_CE27rYUTg,"Elizabeth Rinker, Florida Realtor","I love where I live in Southeast, Florida. This is my ideal area for a perfect home. I will show you the area and the happenings in ...",no
UCSasihoxaAzvPoC4h9JB91w,LIVING IN PORT ST. LUCIE FLORIDA,"Are you wondering what it is like to live in Port St. Lucie, Florida? Well, this is the channel you need! We absolutely love this town ...",yes
UCKXsKx-GTmQssSyAY3zGc7Q,Sailfish Vacation Rentals,"Welcome to Sailfish Vacation Rentals. Our beautifully appointed vacation rental properties are located in Stuart, Florida, close to ...",no
UCzeRE7brAko8MtjFpHhbLOg,Town of Sewall's Point,"Sewall's Point is a town located on the peninsula of the same name in Martin County, Florida, United States.",yes
UCXGlqG9zOM6xLlrx2tUWnNw,City of Stuart Florida,Government Organization.,yes
UChtgJ-n07w6lXXDT6DSXobg,Stuart Florida Real Estate,,no
UCc1iuo7r2i1O1_VYVKC3Anw,"Stuart Heritage Museum, Inc.","Stuart Heritage, Inc. was created in 1988 when the City of Stuart purchased the Stuart Feed Store building on Flagler Avenue in ...",yes
UCLXtxHaHYEjNzVcduw0Zz0g,Don Defenthaler Stuart/Palm City Real Estate Agent,,no
UCb3yR8AdaNZ4Ze5d2pU8YCg,CityStuart,,no
