channel_id,channel_title,channel_description,is_official
UCsjG_WlAS2qv-Hic6K16o3w,City of Fort Lauderdale,"WeAreFTL: the official channel for the City of #FortLauderdale, a breathtaking coastal community in the heart of south Florida that ...",yes
UCX-Uv-Wwjp0LD9vSl8seclA,Tom Fonseca - Ft Lauderdale Florida Real Estate,954-667-2528 | tomfonsecarealestate@gmail.com Call me if you are wondering how's the market in Fort Lauderdale. If you want ...,no
UCIbQmo3TndSZ5PaljezFmBg,FIELD WORKS SOUTH FLORIDA FOOTBALL,"South Florida Football, Lauderdale Lakes Vikings, Fort Lauderdale Hurricanes, Miami Gardens Ravens, Carol City Chiefs, ...",no
UC1f7mxbe18s0B3A1fVgbu4w,City Church FL,"The official youtube channel of City Church FL in Sanford, FL CityChurchFL.org.",yes.
UCFLWvXg4v4bc1TXIgplgfww,FORT LAUDERDALE HOME TOURS,754-244-1933 This channel is designed to showcase the work of DAN OBRIAN PHOTO at FORT LAUDERDALE HOME TOURS.,no
UCsjG_WlAS2qv-Hic6K16o3w,City of Fort Lauderdale,"WeAreFTL: the official channel for the City of #FortLauderdale, a breathtaking coastal community in the heart of south Florida that ...",yes
UCX-Uv-Wwjp0LD9vSl8seclA,Tom Fonseca - Ft Lauderdale Florida Real Estate,954-667-2528 | tomfonsecarealestate@gmail.com Call me if you are wondering how's the market in Fort Lauderdale. If you want ...,no
UC-qswb5YforA3Wt7uqnKVTw,First Baptist Fort Lauderdale,First Baptist Fort Lauderdale is one of the oldest churches in the Greater Fort Lauderdale area. It has been part of the South ...,yes
UCIbQmo3TndSZ5PaljezFmBg,FIELD WORKS SOUTH FLORIDA FOOTBALL,"South Florida Football, Lauderdale Lakes Vikings, Fort Lauderdale Hurricanes, Miami Gardens Ravens, Carol City Chiefs, ...",no
UC8JknUTThpZQ98xxEhpW89w,Christian Life Center,"We are a church in Fort Lauderdale, FL that takes a message of hope everywhere we go, to everyone we meet.",no
