channel_id,channel_title,channel_description,is_official
UC9XZHUEv_Miz7gbO9u4351A,"Artworks Florida Classic Fresnel Lenses, LLC",,no
UCn-85XvIe4GenO_y303lFqQ,See St Augustine,"A video guide of the Nation's Oldest City, St. Augustine, Florida. Hi, my name is Joe Mehm and I've been a resident of the St ...",yes
UCgfUbW5NGRNDR-qnjmeI_QA,Christine Guy,,no
UCoCCEr8TDb1IaFfZTJ_be8Q,Tri State Happy,"Hello everyone! I began this channel to explore and learn about regional history. We sometimes travel a little outside the area, but ...",no
UC5E6xoij907XNOpZYmrde9g,Octavio Rinaldi,,no
UCNwtaFgYjX_MhRJVBYU1hlA,NBCinPDL Northside Baptist Church in Ponce de Leon,"Streaming of Worship Services and Classes of Northside Baptist Church in Ponce de Leon, FL.",no
UC8ovWdIliai-6Gt4MwiHi8w,Sergio Betancourt,Follow me on my quest to find the best food in The Magic City!,no
UCQk7UfkllHcrADBGn1WwZaA,Mike13USCG,Channel is a way for me to share some of my adventures and interesting moments with family and friends.,no
UCbtYvHx-YcIYj5qFqL-hI1Q,TheToneman - Gulf Coast Snorkeling,I love capturing my snorkeling adventures on my GoPro cameras and sharing them with you. I snorkel the beautiful beaches and ...,no
UCrY3JaoKLEEIWyWdr5nDDUA,Firstaa Lasta,,no
